candidate_id,seed_id,benchmark,optimisation,coi_name,iteration,implementation_nodes,input_cut,output_cut,external_fanout_edges,observable_outputs,inferred_input_buses,inferred_output_buses,semantic_hypothesis_id,proof_scope,proof_status,closure_status,last_counterexample,repair_history,search_cost,search_score,source_blind,fingerprint,schema_version
joint_full_adder_missing_input__seed__j00__52c564adc5,joint_full_adder_missing_input__seed,joint_full_adder_missing_input,controlled,"sum,cout",0,"[""ab"",""ac"",""bc"",""cout"",""sum"",""xab""]","[""a"",""b""]","[""cout"",""sum""]",[],"[""cout"",""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""cout""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_input__initial,formal_region_free_cut,unproven,invalid_incomplete_input_cut,{},[],0,0.0,true,c941caaa366db3c2,joint_region_interface_candidate_v1
joint_full_adder_missing_output__seed__j00__7eb98cf7bd,joint_full_adder_missing_output__seed,joint_full_adder_missing_output,controlled,sum,0,"[""sum"",""xab""]","[""a"",""b"",""cin""]","[""sum""]",[],"[""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_output__initial,formal_region_free_cut,unproven,closed,{},[],0,0.87,true,35aab9c4418ec849,joint_region_interface_candidate_v1
joint_boolean_region__seed__j00__0727c2ff17,joint_boolean_region__seed,joint_boolean_region,controlled,y0,0,"[""y0""]","[""a0"",""b0"",""c0""]","[""y0""]",[],"[""y0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_boolean_region__initial,formal_region_free_cut,unproven,closed,{},[],0,0.89,true,6207817575ad9a92,joint_region_interface_candidate_v1
joint_affine_hidden_coefficients__seed__j00__69a46e5d1f,joint_affine_hidden_coefficients__seed,joint_affine_hidden_coefficients,controlled,"y0,y1",0,"[""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""c0"",""c1""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci5"",""ordered_member_nodes"":[""c1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_affine_hidden_coefficients__initial,formal_region_free_cut,unproven,closed,{},[],0,0.78,true,c83acda6b85c31fc,joint_region_interface_candidate_v1
joint_add_add__seed__j00__4237022cdd,joint_add_add__seed,joint_add_add,controlled,"y0,y1",0,"[""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""c0"",""c1""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci5"",""ordered_member_nodes"":[""c1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_add_add__initial,formal_region_free_cut,unproven,closed,{},[],0,0.78,true,b47ab56f0bb304e2,joint_region_interface_candidate_v1
joint_bilinear__seed__j00__d023b09de2,joint_bilinear__seed,joint_bilinear,controlled,"y0,y1",0,"[""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""c0"",""c1""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci5"",""ordered_member_nodes"":[""c1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_bilinear__initial,formal_region_free_cut,unproven,closed,{},[],0,0.78,true,0c86d2b64ea2943b,joint_region_interface_candidate_v1
joint_mac__seed__j00__b22aa5b260,joint_mac__seed,joint_mac,controlled,"y0,y1",0,"[""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""c0"",""c1""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci5"",""ordered_member_nodes"":[""c1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_mac__initial,formal_region_free_cut,unproven,closed,{},[],0,0.78,true,2bbf17e3c2a2cb17,joint_region_interface_candidate_v1
joint_mux_reordered_outputs__seed__j00__9f9e5e434e,joint_mux_reordered_outputs__seed,joint_mux_reordered_outputs,controlled,"y1,y0",0,"[""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""sel""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""sel""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_mux_reordered_outputs__initial,formal_region_free_cut,unproven,closed,{},[],0,0.8099999999999999,true,b26593eb1c792815,joint_region_interface_candidate_v1
joint_negative_unaccounted_fanout__seed__j00__df76f4bce7,joint_negative_unaccounted_fanout__seed,joint_negative_unaccounted_fanout,controlled,sum,0,"[""sum"",""xab""]","[""a"",""b"",""cin""]","[""sum""]",[],"[""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_negative_unaccounted_fanout__initial,formal_region_free_cut,unproven,closed,{},[],0,0.87,true,cf2e07e174396c89,joint_region_interface_candidate_v1
joint_negative_dangling_fanin__seed__j00__9455aee117,joint_negative_dangling_fanin__seed,joint_negative_dangling_fanin,controlled,sum,0,"[""sum"",""xab""]","[""a"",""b"",""cin""]","[""sum""]",[],"[""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_negative_dangling_fanin__initial,formal_region_free_cut,unproven,closed,{},[],0,0.87,true,6f67d7d1fcccd027,joint_region_interface_candidate_v1
