candidate_id,benchmark,output_node,backend,status,is_affine,constant,coefficients,rank,rejection_reason,proved_independently,schema_version
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,y0,gf2_linear_special_case,exact_affine_solution,true,1,"{""c0"": 1, ""c1"": 0, ""d0"": 0, ""d1"": 0, ""x0"": 1, ""x1"": 0}",2,,true,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""r1"": 0, ""x0"": 1, ""x1"": 0, ""y0"": 1, ""y1"": 0, ""z0"": 1, ""z1"": 0}",4,,true,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,o0,gf2_linear_special_case,rejected_nonlinear,false,0,"{""c0"": 1, ""c1"": 0, ""r0"": 1, ""r1"": 0, ""x0"": 0, ""x1"": 0, ""y0"": 0, ""y1"": 0}",2,nonlinear_counterexample,true,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,o0,gf2_linear_special_case,rejected_nonlinear,false,0,"{""a0"": 0, ""a1"": 0, ""b0"": 0, ""b1"": 0, ""c0"": 1, ""c1"": 0, ""r0"": 1, ""r1"": 0}",2,nonlinear_counterexample,true,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""r1"": 0, ""x0"": 1, ""x1"": 0}",2,,true,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""x0"": 1, ""x1"": 1}",3,,true,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,o0,gf2_linear_special_case,exact_affine_solution,true,1,"{""r0"": 1, ""r1"": 0, ""x0"": 1, ""x1"": 0}",2,,true,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""r1"": 0, ""x0"": 1, ""x1"": 0, ""y0"": 1, ""y1"": 0, ""z0"": 1, ""z1"": 0}",4,,true,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""r1"": 0, ""x0"": 1, ""x1"": 0}",2,,true,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""x0"": 1, ""x1"": 0}",2,,true,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart,negative_information_lost,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""x0"": 1, ""x1"": 1}",2,,false,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""r0"": 1, ""x0"": 0}",1,,true,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart,negative_identity_divisor,o0,gf2_linear_special_case,exact_affine_solution,true,0,"{""x0"": 1, ""x1"": 0}",1,,true,active_source_counterpart_refactoring_v1
