candidate_id,region_id,case_id,family,operator,optimization,source_type,grammar_family,classification,proof_scope,canonical_form,rtl_text,candidate_rtl_cost,input_gate_count,reduction_rate,reduction_rate_ge_70,formal_runtime,selection_rank
arithmetic_affine_w2__balance__whole_output_cone__cand_0025,arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,arithmetic,affine,balance,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<5,unsigned>(a)",(a & 5'd0),1,9,88.888889,true,0.000370,1
arithmetic_affine_w2__resyn__whole_output_cone__cand_0025,arithmetic_affine_w2__resyn__whole_output_cone,arithmetic_affine_w2,arithmetic,affine,resyn,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<5,unsigned>(a)",(a & 5'd0),1,9,88.888889,true,0.000169,1
arithmetic_affine_w2__rewrite__whole_output_cone__cand_0025,arithmetic_affine_w2__rewrite__whole_output_cone,arithmetic_affine_w2,arithmetic,affine,rewrite,whole_output_cone,bitmanip_direct,formally_equivalent_alternative,region,"mask_and<5,unsigned>(a)",(a & 5'd0),1,10,90.000000,true,0.000175,1
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__cand_0014,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,arithmetic_constant_multiply_w2,arithmetic,constant_multiply,compress2rs,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<4,unsigned>(4'd3,a)",(a * 4'd3),4,5,20.000000,false,0.000142,1
arithmetic_constant_multiply_w2__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w2__identity__ground_truth_region,arithmetic_constant_multiply_w2,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<4,unsigned>(4'd3,a)",(a * 4'd3),4,4,0.000000,false,0.000140,1
arithmetic_constant_multiply_w2__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w2__identity__whole_output_cone,arithmetic_constant_multiply_w2,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<4,unsigned>(4'd3,a)",(a * 4'd3),4,4,0.000000,false,0.000131,1
arithmetic_constant_multiply_w2__resyn2__whole_output_cone__cand_0014,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,arithmetic_constant_multiply_w2,arithmetic,constant_multiply,resyn2,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<4,unsigned>(4'd3,a)",(a * 4'd3),4,5,20.000000,false,0.000135,1
arithmetic_constant_multiply_w3__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w3__identity__ground_truth_region,arithmetic_constant_multiply_w3,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<5,unsigned>(5'd3,a)",(a * 5'd3),4,5,20.000000,false,0.000280,1
arithmetic_constant_multiply_w3__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w3__identity__whole_output_cone,arithmetic_constant_multiply_w3,arithmetic,constant_multiply,identity,whole_output_cone,arithmetic_direct,formally_equivalent_alternative,region,"mul<5,unsigned>(5'd3,a)",(a * 5'd3),4,5,20.000000,false,0.000278,1
arithmetic_constant_multiply_w4__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w4__identity__ground_truth_region,arithmetic_constant_multiply_w4,arithmetic,constant_multiply,identity,ground_truth_region,arithmetic_direct,formally_equivalent_alternative,region,"mul<6,unsigned>(6'd3,a)",(a * 6'd3),4,6,33.333333,false,0.000817,1
