target_id,cut_id,implementation_cut_leaves,mapped_source_cut_leaves,leaf_polarities,leaf_mapping_categories,all_leaves_formal,cut_size,cut_depth,validation_status,failure_reason,schema_version
distributed_affine_divisor__target,distributed_affine_divisor__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,shared_add_add_divisor__target__cut,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence""]",true,6,1,valid,,active_source_counterpart_refactoring_v1
bilinear_divisor__target,bilinear_divisor__target__cut,"[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1""]","[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence""]",true,6,1,valid,,active_source_counterpart_refactoring_v1
mac_divisor__target,mac_divisor__target__cut,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence""]",true,6,1,valid,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,reordered_multi_output_divisor__target__cut,"[""x1"", ""x0""]","[""x1"", ""x0""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,boolean_obscured_divisor__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,closed_region_fails_decomposition_succeeds__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__target,joint_bypass_fails_decomposition_succeeds__target__cut,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence"", ""exact_global_correspondence""]",true,6,1,valid,,active_source_counterpart_refactoring_v1
requires_residual_variable__target,requires_residual_variable__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
requires_multi_output_m__target,requires_multi_output_m__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
negative_information_lost__target,negative_information_lost__target__cut,"[""x0""]","[""x0""]","[""same""]","[""exact_global_correspondence""]",true,1,1,valid,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__target,negative_h_ignores_m__target__cut,"[""x0""]","[""x0""]","[""same""]","[""exact_global_correspondence""]",true,1,1,valid,,active_source_counterpart_refactoring_v1
negative_identity_divisor__target,negative_identity_divisor__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]","[""exact_global_correspondence"", ""exact_global_correspondence""]",true,2,1,valid,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,new_n17|cut6,"[""a0"", ""b0""]","[""a0"", ""b0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,new_n17|cut7,"[""a0"", ""b0"", ""new_n15""]","[""a0"", ""b0"", ""new_n24""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,new_n19|cut13,"[""a0"", ""b0"", ""cin""]","[""a0"", ""b0"", ""cin""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,new_n17|cut6,"[""a0"", ""b0""]","[""a0"", ""b0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,new_n17|cut7,"[""a0"", ""b0"", ""new_n15""]","[""a0"", ""b0"", ""new_n24""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,new_n19|cut13,"[""a0"", ""b0"", ""cin""]","[""a0"", ""b0"", ""cin""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|dc2|new_n10,new_n10|cut3,"[""new_n9"", ""s0""]","[""new_n8"", ""s0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,new_n12|cut3,"[""d1"", ""s1""]","[""d1"", ""s1""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,new_n9|cut3,"[""d2"", ""s1""]","[""d2"", ""s1""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,new_n18|cut3,"[""d6"", ""s0""]","[""d6"", ""s0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,new_n24|cut3,"[""d5"", ""s0""]","[""d5"", ""s0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,new_n27|cut3,"[""d0"", ""s0""]","[""d0"", ""s0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,new_n28|cut3,"[""d4"", ""s0""]","[""d4"", ""s0""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,new_n15|cut7,"[""d7"", ""s0"", ""s2""]","[""d7"", ""s0"", ""s2""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,new_n19|cut7,"[""d2"", ""d6"", ""s0""]","[""d2"", ""d6"", ""s0""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,new_n29|cut7,"[""d0"", ""d4"", ""s0""]","[""d0"", ""d4"", ""s0""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,new_n15|cut3,"[""new_n13"", ""s1""]","[""new_n16"", ""s1""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,new_n19|cut3,"[""new_n17"", ""s1""]","[""new_n13"", ""s1""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,new_n29|cut3,"[""new_n27"", ""s1""]","[""new_n22"", ""s1""]","[""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match""]",true,2,bounded,valid,,active_source_counterpart_refactoring_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,new_n20|cut7,"[""new_n17"", ""new_n18"", ""s1""]","[""new_n13"", ""new_n14"", ""s1""]","[""same"", ""same"", ""same""]","[""exact_signature_match"", ""exact_signature_match"", ""exact_signature_match""]",true,3,bounded,valid,,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_and_factor__b0,controlled_and_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
controlled_nonmonotonic_factor__b0,controlled_nonmonotonic_factor__b0__fresh_cut,[],[],[],"[""formal_or_unresolved""]",false,2,bounded,candidate_unproven,fresh_target_lacks_complete_formal_leaf_mapping_under_bounds,active_source_counterpart_refactoring_v1
