target_id,cut_id,target_function_id,backend,function_status,truth_table_hash,support_size,runtime_seconds,failure_reason,schema_version
distributed_affine_divisor__target,distributed_affine_divisor__target__cut,56d968aa37216ab2,semantic_expression_and_truth_table,extracted,56d968aa37216ab2,2,0.000000,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__target,shared_add_add_divisor__target__cut,0ffca1ff7e932d0a,semantic_expression_and_truth_table,extracted,0ffca1ff7e932d0a,6,0.000000,,active_source_counterpart_refactoring_v1
bilinear_divisor__target,bilinear_divisor__target__cut,e24671def85f225d,semantic_expression_and_truth_table,extracted,e24671def85f225d,6,0.000000,,active_source_counterpart_refactoring_v1
mac_divisor__target,mac_divisor__target__cut,c918d47425684fb6,semantic_expression_and_truth_table,extracted,c918d47425684fb6,6,0.000000,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__target,reordered_multi_output_divisor__target__cut,f21edaac50c7d4b8,semantic_expression_and_truth_table,extracted,f21edaac50c7d4b8,2,0.000000,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__target,boolean_obscured_divisor__target__cut,9d5897e49135094e,semantic_expression_and_truth_table,extracted,9d5897e49135094e,2,0.000000,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__target,closed_region_fails_decomposition_succeeds__target__cut,56d968aa37216ab2,semantic_expression_and_truth_table,extracted,56d968aa37216ab2,2,0.000000,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__target,joint_bypass_fails_decomposition_succeeds__target__cut,0ffca1ff7e932d0a,semantic_expression_and_truth_table,extracted,0ffca1ff7e932d0a,6,0.000000,,active_source_counterpart_refactoring_v1
requires_residual_variable__target,requires_residual_variable__target__cut,c1b3f8c6f8aaa54a,semantic_expression_and_truth_table,extracted,c1b3f8c6f8aaa54a,2,0.000000,,active_source_counterpart_refactoring_v1
requires_multi_output_m__target,requires_multi_output_m__target__cut,447a2c3fb3d00094,semantic_expression_and_truth_table,extracted,447a2c3fb3d00094,2,0.000000,,active_source_counterpart_refactoring_v1
negative_information_lost__target,negative_information_lost__target__cut,53a83093432ff99b,semantic_expression_and_truth_table,extracted,53a83093432ff99b,1,0.000000,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__target,negative_h_ignores_m__target__cut,53a83093432ff99b,semantic_expression_and_truth_table,extracted,53a83093432ff99b,1,0.000000,,active_source_counterpart_refactoring_v1
negative_identity_divisor__target,negative_identity_divisor__target__cut,447a2c3fb3d00094,semantic_expression_and_truth_table,extracted,447a2c3fb3d00094,2,0.000000,,active_source_counterpart_refactoring_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,new_n17|cut6,expr_a5c3dd48facf21ed,prior_materialized_truth_table,extracted,a5c3dd48facf21ed,2,0.000000,,active_source_counterpart_refactoring_v1
