region_id,case_id,optimization,source_type,direction,bus_hypothesis_id,ground_truth_bus_name,exact_ordered_bus_match,unordered_bus_membership_match,reversed_order_match,partial_match,ordering_method,ordering_score,ordering_ambiguity
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,input,arithmetic_add_add_w2__identity__ground_truth_region__inf__input__a,a,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,input,arithmetic_add_add_w2__identity__ground_truth_region__inf__input__b,b,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,input,arithmetic_add_add_w2__identity__ground_truth_region__inf__input__c,c,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,output,arithmetic_add_add_w2__identity__ground_truth_region__inf__output__y,y,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,input,arithmetic_add_add_w2__identity__whole_output_cone__inf__input__a,a,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,input,arithmetic_add_add_w2__identity__whole_output_cone__inf__input__b,b,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,input,arithmetic_add_add_w2__identity__whole_output_cone__inf__input__c,c,true,true,false,true,name_index,1.000000,0
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,output,arithmetic_add_add_w2__identity__whole_output_cone__inf__output__y,y,true,true,false,true,name_index,1.000000,0
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,input,arithmetic_affine_w2__balance__whole_output_cone__inf__input__a,a,true,true,false,true,name_index,1.000000,0
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,output,arithmetic_affine_w2__balance__whole_output_cone__inf__output__y,y,true,true,false,true,name_index,1.000000,0
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,input,arithmetic_affine_w2__compress2rs__whole_output_cone__inf__input__a,a,true,true,false,true,name_index,1.000000,0
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,output,arithmetic_affine_w2__compress2rs__whole_output_cone__inf__output__y,y,true,true,false,true,name_index,1.000000,0
