benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,is_exact_signature_match,match_category,signature_match_on_patterns,formal_truth_table_match,pattern_count,is_formal_exact_mode,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count,sat_reason,needs_sat_check,orig_blif,opt_blif
generated_adder_4,balance,new_n15,1,new_n15,1.0,1.0,1.0,1.0,1,1,1,exact_anchor,1,1,512,1,7bd75205b989a663,7bd75205b989a663,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n16,1,new_n16,1.0,1.0,1.0,1.0,1,1,1,exact_anchor,1,1,512,1,235b1e44a2ae2a5f,235b1e44a2ae2a5f,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n17,1,new_n17,1.0,1.0,1.0,1.0,2,2,1,exact_anchor,1,1,512,1,5fb1824d9692e39a,5fb1824d9692e39a,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n18,1,new_n18,1.0,1.0,1.0,1.0,3,3,1,exact_anchor,1,1,512,1,38a1a370d3f79f4b,38a1a370d3f79f4b,3,3,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n19,1,new_n19,1.0,1.0,1.0,1.0,3,3,1,exact_anchor,1,1,512,1,dc06a37141f84a2b,dc06a37141f84a2b,3,3,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n21,1,new_n21,1.0,1.0,1.0,1.0,1,1,1,exact_anchor,1,1,512,1,e451a988382af5d9,e451a988382af5d9,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n22,1,new_n22,1.0,1.0,1.0,1.0,1,1,1,exact_anchor,1,1,512,1,2157b90811e3ea67,2157b90811e3ea67,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n23,1,new_n23,1.0,1.0,1.0,1.0,2,2,1,exact_anchor,1,1,512,1,f6ca69658a9287c9,f6ca69658a9287c9,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n24,1,new_n24,1.0,1.0,1.0,1.0,1,1,1,exact_anchor,1,1,512,1,47c57d9752e083e9,47c57d9752e083e9,2,2,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
generated_adder_4,balance,new_n25,1,new_n25,1.0,1.0,1.0,1.0,3,3,1,exact_anchor,1,1,512,1,6651021d80b896ca,6651021d80b896ca,3,3,2,2,exact anchor SAT sanity check (score 1.000),True,variants/generated_adder_4_original.blif,variants/generated_adder_4_balance.blif
