attempt_id,candidate_id,benchmark,strategy,suffix_pass,checkpoint_path,cec_status,target_counterpart_present,graph_active,usable_boundary,repairs,first_loss_reason,area_delta,depth_delta,schema_version
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/multi_output_region.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/multi_output_region.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,bounded_pass_choice,bounded_pass_choice,results/cross_netlist_cut_transplantation/artifacts/multi_output_region.bounded_pass_choice.suffix.blif,equivalent,true,true,true,0,,0,0,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,retransplant_after_pass,retransplant_after_pass,results/cross_netlist_cut_transplantation/artifacts/multi_output_region.retransplant_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,unprotected,strash;rewrite,results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.unprotected.suffix.blif,equivalent,false,false,false,0,target_counterpart_removed_by_suffix,0,0,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,repair_after_pass,repair_after_pass,results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.repair_after_pass.suffix.blif,equivalent,true,true,true,1,,0,0,cross_netlist_cut_transplantation_v1
