stable_target_id,compact_interface,tested_interface,proved_lower_bound,best_upper_bound,rewrite_emitted,graph_active,rewrite_artifact,source_vs_rewrite_cec,rewrite_vs_optimized_cec,new_boundary,global_cec_status,promotion,blocker,schema_version
1255dd6ffc4d8f20,true,"[""a1"", ""b1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/1255dd6ffc4d8f20.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
1a4ee0508c00ee05,true,"[""d1"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/1a4ee0508c00ee05.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
202040fdc0c4f44d,false,"[""d2"", ""d4"", ""d5""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
2f3ded849a259150,false,"[""d2"", ""d6""]",2,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
3678a9633b5b9e60,true,"[""d0"", ""d1"", ""s1""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/3678a9633b5b9e60.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
36d89ab6b178da54,true,"[""a3"", ""b3""]",2,2,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/36d89ab6b178da54.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
373a3d96f64cae37,true,"[""a0"", ""b0"", ""cin""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/373a3d96f64cae37.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
3b2fc8360b7e79ac,true,"[""d0"", ""d1"", ""s1""]",3,3,true,true,results/necessity_first_target_discovery/artifacts/necessity_rewrites/3b2fc8360b7e79ac.interface_rewrite.blif,equivalent,equivalent,true,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
40a47f1e357957aa,true,"[""d3"", ""s1""]",2,2,true,false,results/necessity_first_target_discovery/artifacts/necessity_rewrites/40a47f1e357957aa.interface_rewrite.blif,equivalent,equivalent,false,not_claimed,rewrite_artifact_only_not_graph_active,rewrite_not_graph_active,evidence_advancement_v1
44ce54e10e10f232,false,"[""d2"", ""d4"", ""d5""]",3,,false,false,,not_run,not_run,false,not_claimed,not_interface_recoverable_under_bound,search_budget_exhaustion,evidence_advancement_v1
