target_id,candidate_source_window,expression_language,expression,selection_features,semantic_counterpart_status,rewrite_artifact,rewrite_emitted,graph_active,global_cec_status,promotion,blocker,source_blind,leakage_audit,source_vs_rewrite_cec,rewrite_vs_optimized_cec,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,"[""new_n17""]",not,not(new_n17),"{""candidate_signals"": 35, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""a0"", ""b0""], ""selected_window_width"": 1, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""1831277e368b3f87""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/fd7102d2b6950296.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,"[""new_n17""]",not,not(new_n17),"{""candidate_signals"": 35, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""a0"", ""b0""], ""selected_window_width"": 1, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""1831277e368b3f87""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/40225387e371bbff.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,"[""cin"", ""new_n18""]",xnor,"xnor(cin,new_n18)","{""candidate_signals"": 35, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""a0"", ""b0"", ""cin""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""a4f3d41ddb394a66""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/a6027123aa978e43.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,"[""new_n17""]",not,not(new_n17),"{""candidate_signals"": 35, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""a0"", ""b0""], ""selected_window_width"": 1, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""1831277e368b3f87""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/4995fa78bb43b875.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,"[""new_n17""]",not,not(new_n17),"{""candidate_signals"": 35, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""a0"", ""b0""], ""selected_window_width"": 1, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""1831277e368b3f87""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/cd0364edbbad7d4a.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,"[""cin"", ""new_n18""]",xnor,"xnor(cin,new_n18)","{""candidate_signals"": 35, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""a0"", ""b0"", ""cin""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""a4f3d41ddb394a66""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/521753285300df99.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|dc2|new_n10,"[""new_n8"", ""s1"", ""s0""]",mux,"mux(new_n8,s1,s0)","{""candidate_signals"": 15, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d2"", ""s0"", ""s1""], ""selected_window_width"": 3, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""90736923a321caff""}",proved_additive_counterpart,results/evidence_advancement/artifacts/source_blind_window_expression_placement/ba9725bc5dc870c4.blif,true,true,equivalent,graph_active_recovery,,true,pass:aligned_pi_po_source_graph_signals_only,equivalent,equivalent,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,"[""s1"", ""new_n12""]",xor,"xor(s1,new_n12)","{""candidate_signals"": 15, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d1"", ""s1""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""645cbc78d7169af2""}",proved_additive_counterpart,,false,false,not_claimed,not_promoted,identical_driver,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,"[""d2"", ""s1""]",nor,"nor(d2,s1)","{""candidate_signals"": 15, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""selected_support"": [""d2"", ""s1""], ""selected_window_width"": 2, ""selection_policy"": ""first_exact_vector_match_in_bounded_language"", ""target_truth_table_hash"": ""1bc1c395d61603c2""}",proved_additive_counterpart,,false,false,not_claimed,not_promoted,identical_driver,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,[],bounded_source_expression,,"{""candidate_signals"": 29, ""candidate_source"": ""source_graph_signals_only"", ""max_candidate_signals"": 64, ""max_support_inputs"": 6, ""search_order"": [""not"", ""binary"", ""mux""], ""target_truth_table_hash"": ""9b81239eae17dade""}",proved_additive_counterpart,,false,false,not_claimed,not_promoted,no_source_window_expression_under_bound,true,pass:aligned_pi_po_source_graph_signals_only,not_run,not_run,evidence_advancement_v1
