candidate_id,region_id,simulation_filter_mode,sample_count,sample_matches,sample_mismatches,sample_match_rate,first_mismatch_pattern,mismatch_output_bits,simulation_runtime,simulation_status,simulation_evidence_level,schema_version
arithmetic_add_add_w2__identity__ground_truth_region__cand_0001,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000713,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0002,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":13,""difference"":4,""gate_output"":9,""pattern_id"":""p0001""}",4,0.000430,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0003,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000362,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0004,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000328,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0005,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":0,""difference"":9,""gate_output"":9,""pattern_id"":""p0001""}",9,0.000309,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0006,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":1,""difference"":1,""gate_output"":0,""pattern_id"":""p0000""}",1,0.000197,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0007,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":15,""difference"":15,""gate_output"":0,""pattern_id"":""p0000""}",15,0.000203,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0008,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":3,""difference"":10,""gate_output"":9,""pattern_id"":""p0001""}",10,0.000303,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0009,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":2,""difference"":2,""gate_output"":0,""pattern_id"":""p0000""}",2,0.000195,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0010,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":0,""b"":0,""c"":0},""candidate_output"":14,""difference"":14,""gate_output"":0,""pattern_id"":""p0000""}",14,0.000201,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
arithmetic_add_add_w2__identity__ground_truth_region__cand_0011,arithmetic_add_add_w2__identity__ground_truth_region,semantic_patterns,30,29,1,0.966667,"{""assignment"":{""a"":3,""b"":3,""c"":3},""candidate_output"":6,""difference"":15,""gate_output"":9,""pattern_id"":""p0001""}",15,0.000298,simulation_mismatch,sampled_estimate,semantic_candidate_simulation_v1
