adapter_id,candidate_id,benchmark,backend,linearity_status,matrix_rows,matrix_cols,rank,nullity,solution,proof_status,rejection_reason,schema_version
permute_invert_adapter__xplant__Ein,permute_invert_adapter__xplant,permute_invert_adapter,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[0, 1], [1, 0]], ""constant"": ""01""}",proved,,cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__Eout,permute_invert_adapter__xplant,permute_invert_adapter,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Ein,xor_basis_adapter__xplant,xor_basis_adapter,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[1, 1], [0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Eout,xor_basis_adapter__xplant,xor_basis_adapter,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Ein,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,gf2_linear_relational_baseline,rejected_nonlinear,2,4,1,3,"{""coefficients"": [[0, 0, 0, 0], [0, 0, 1, 1]], ""constant"": ""00""}",disproven_nonlinear,nonlinear_counterexample,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Eout,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Ein,multi_output_region__xplant,multi_output_region,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[1, 0], [0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Eout,multi_output_region__xplant,multi_output_region,gf2_linear_relational_baseline,proved_affine,3,4,3,1,"{""coefficients"": [[1, 0, 1, 0], [0, 1, 1, 0], [0, 0, 0, 1]], ""constant"": ""000""}",proved,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Ein,residual_output_adapter__xplant,residual_output_adapter,gf2_linear_relational_baseline,proved_affine,2,2,2,0,"{""coefficients"": [[1, 0], [0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Eout,residual_output_adapter__xplant,residual_output_adapter,gf2_linear_relational_baseline,proved_affine,2,3,2,1,"{""coefficients"": [[1, 1, 0], [0, 0, 1]], ""constant"": ""00""}",proved,,cross_netlist_cut_transplantation_v1
