target_id,source_failure_group,split,candidate_status,region_pair_status,input_adapter_status,relational_status,output_adapter_status,graph_status,source_cec_status,cross_cec_status,new_recovered_boundary,failure_stage,failure_reason,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,no_relevant_source_consumer_window_under_bounds,heldout,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_4|mux_tree_root|dc2|new_n10,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,no_relevant_source_consumer_window_under_bounds,dev,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,no_relevant_source_consumer_window_under_bounds,heldout,evaluated_source_blind_revisit,bounded_region_pair_found_diagnostic,adapter_exists_oracle_diagnostic,relational_not_needed,insufficient_output_interface,not_rewritten,not_run,not_run,false,output_interface_sufficiency,no_relevant_source_consumer_window_under_bounds,cross_netlist_cut_transplantation_v1
