case_id,benchmark,optimization,proof_status,evidence_level,placement_attempted,boundary_success,graph_active,global_cec_status,promotion,blocker,schema_version
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,dc2,proven_odc_valid,formal_contextual,true,false,false,not_claimed,contextual_anchor_only,blocked_by_missing_relevant_anchors,evidence_advancement_v1
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,resyn2,proven_odc_valid,formal_contextual,true,false,false,not_claimed,contextual_anchor_only,blocked_by_missing_relevant_anchors,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n10|new_n10|inverted,generated_mux_tree_4,resyn2,proven_odc_valid,formal_contextual,true,true,false,not_claimed,boundary_candidate_requires_graph_cec,fixed_by_cost_guided_search,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n13|new_n13|new_n13|positive,generated_mux_tree_4,resyn2,proven_odc_valid,formal_contextual,true,true,false,not_claimed,boundary_candidate_requires_graph_cec,fixed_by_cost_guided_search,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n10|new_n8|positive,generated_mux_tree_4,resyn2,proven_odc_valid,formal_contextual,true,true,false,not_claimed,boundary_candidate_requires_graph_cec,fixed_by_cost_guided_search,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n10|new_n10|new_n10|inverted,generated_mux_tree_4,resyn2,proven_odc_valid,formal_contextual,true,true,false,not_claimed,boundary_candidate_requires_graph_cec,fixed_by_cost_guided_search,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n13|new_n13|new_n13|positive,generated_mux_tree_4,resyn2,proven_odc_valid,formal_contextual,true,true,false,not_claimed,boundary_candidate_requires_graph_cec,fixed_by_cost_guided_search,evidence_advancement_v1
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n10|new_n10|new_n8|positive,generated_mux_tree_4,resyn2,proven_odc_valid,formal_contextual,true,true,false,not_claimed,boundary_candidate_requires_graph_cec,fixed_by_cost_guided_search,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_mux_tree_8,resyn2,proven_odc_valid,formal_contextual,true,false,false,not_claimed,contextual_anchor_only,boundary_still_invalid,evidence_advancement_v1
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_mux_tree_8,resyn2,proven_odc_valid,formal_contextual,true,false,false,not_claimed,contextual_anchor_only,boundary_still_invalid,evidence_advancement_v1
