transition_id,from_candidate_id,to_candidate_id,operation,reason,counterexample_id,changed_region_nodes,changed_input_cut,changed_output_cut,closure_before,closure_after,accepted_by_beam,schema_version
joint_full_adder_missing_input__seed__j00__52c564adc5__add_cut_input__1,joint_full_adder_missing_input__seed__j00__52c564adc5,joint_full_adder_missing_input__seed__j01__01a3d6cb8b,add_cut_input,counterexample_exposed_missing_cut_input,joint_full_adder_missing_input__cex_0001,[],"[""cin""]",[],invalid_incomplete_input_cut,closed,true,joint_search_transition_v1
joint_full_adder_missing_input__seed__j01__01a3d6cb8b__forward_completion__9,joint_full_adder_missing_input__seed__j01__01a3d6cb8b,joint_full_adder_missing_input__seed__j09__4fed40597a,forward_completion,closed_region_completion_after_interface_repair,,[],[],[],closed,closed,true,joint_search_transition_v1
joint_full_adder_missing_output__seed__j00__7eb98cf7bd__promote_output__1,joint_full_adder_missing_output__seed__j00__7eb98cf7bd,joint_full_adder_missing_output__seed__j01__6815ef5056,promote_output,counterexample_localized_missing_output_cut,joint_full_adder_missing_output__cex_0001,[],[],"[""cout""]",closed,closed,true,joint_search_transition_v1
joint_full_adder_missing_output__seed__j01__6815ef5056__backward_completion__9,joint_full_adder_missing_output__seed__j01__6815ef5056,joint_full_adder_missing_output__seed__j09__2eb71e559a,backward_completion,added_promoted_output_cone,,"[""ab"", ""ac"", ""bc"", ""cout""]",[],[],closed,closed,true,joint_search_transition_v1
joint_boolean_region__seed__j00__0727c2ff17__absorb_counterexample__9,joint_boolean_region__seed__j00__0727c2ff17,joint_boolean_region__seed__j09__354f33107b,absorb_counterexample,proof_counterexample_changed_semantic_parameters,joint_boolean_region__cex_0001,[],[],[],closed,closed,true,joint_search_transition_v1
joint_affine_hidden_coefficients__seed__j00__21b42d147d__contract_irrelevant__1,joint_affine_hidden_coefficients__seed__j00__21b42d147d,joint_affine_hidden_coefficients__seed__j01__19a9e46334,contract_irrelevant,counterexample_free_cost_guided_closure_reduction,,[],"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]",[],invalid_whole_design_expansion,invalid_whole_design_expansion,true,joint_search_transition_v1
joint_affine_hidden_coefficients__seed__j01__19a9e46334__semantic_completion__9,joint_affine_hidden_coefficients__seed__j01__19a9e46334,joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b,semantic_completion,selected_minimal_closed_equivalent_region,,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]",[],invalid_whole_design_expansion,closed,true,joint_search_transition_v1
joint_add_add__seed__j00__4237022cdd__absorb_counterexample__9,joint_add_add__seed__j00__4237022cdd,joint_add_add__seed__j09__c90e04a2f0,absorb_counterexample,proof_counterexample_changed_semantic_parameters,joint_add_add__cex_0001,[],[],[],closed,closed,true,joint_search_transition_v1
joint_bilinear__seed__j00__d023b09de2__absorb_counterexample__9,joint_bilinear__seed__j00__d023b09de2,joint_bilinear__seed__j09__70b22141ea,absorb_counterexample,proof_counterexample_changed_semantic_parameters,joint_bilinear__cex_0001,[],[],[],closed,closed,true,joint_search_transition_v1
joint_mac__seed__j00__b22aa5b260__absorb_counterexample__9,joint_mac__seed__j00__b22aa5b260,joint_mac__seed__j09__9f37686d78,absorb_counterexample,proof_counterexample_changed_semantic_parameters,joint_mac__cex_0001,[],[],[],closed,closed,true,joint_search_transition_v1
joint_mux_reordered_outputs__seed__j00__9f9e5e434e__reorder_output_bits__1,joint_mux_reordered_outputs__seed__j00__9f9e5e434e,joint_mux_reordered_outputs__seed__j01__52b763d544,reorder_output_bits,counterexample_swapped_bus_positions,joint_mux_reordered_outputs__cex_0001,[],[],[],closed,closed,true,joint_search_transition_v1
joint_mux_reordered_outputs__seed__j01__52b763d544__backward_completion__9,joint_mux_reordered_outputs__seed__j01__52b763d544,joint_mux_reordered_outputs__seed__j09__432444d61d,backward_completion,restored_output_bus_order,,[],[],[],closed,closed,true,joint_search_transition_v1
joint_negative_unaccounted_fanout__seed__j00__df76f4bce7__budgeted_no_repair__9,joint_negative_unaccounted_fanout__seed__j00__df76f4bce7,joint_negative_unaccounted_fanout__seed__j09__0a58a83023,budgeted_no_repair,negative_control_retained_for_validator,,[],[],[],closed,closed,false,joint_search_transition_v1
joint_negative_dangling_fanin__seed__j00__9455aee117__budgeted_no_repair__9,joint_negative_dangling_fanin__seed__j00__9455aee117,joint_negative_dangling_fanin__seed__j09__b7a19168e8,budgeted_no_repair,negative_control_retained_for_validator,,[],[],[],closed,closed,false,joint_search_transition_v1
