bus_hypothesis_id,region_id,inference_mode,used_ground_truth_for_generation,used_ground_truth_for_evaluation,direction,role,member_nodes,ordered_member_nodes,width,bit_order,signedness_hypothesis,grouping_score,ordering_score,role_score,evidence_sources,feature_values,ambiguity_count,ground_truth_bus_name_if_known,ground_truth_match,rank,schema_version
arithmetic_add_add_w2__identity__ground_truth_region__inf__input__a,arithmetic_add_add_w2__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_add_add_w2__identity__ground_truth_region__inf__output__y,arithmetic_add_add_w2__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.925000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_add_add_w2__identity__whole_output_cone__inf__input__a,arithmetic_add_add_w2__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_add_add_w2__identity__whole_output_cone__inf__output__y,arithmetic_add_add_w2__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3""]","[""y_0"",""y_1"",""y_2"",""y_3""]",4,lsb_to_msb,unknown,0.925000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.75}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__balance__whole_output_cone__inf__input__a,arithmetic_affine_w2__balance__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.940000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__balance__whole_output_cone__inf__output__y,arithmetic_affine_w2__balance__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.780000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.266667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__inf__input__a,arithmetic_affine_w2__compress2rs__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__compress2rs__whole_output_cone__inf__output__y,arithmetic_affine_w2__compress2rs__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.735000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.116667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__dc2__whole_output_cone__inf__input__a,arithmetic_affine_w2__dc2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__dc2__whole_output_cone__inf__output__y,arithmetic_affine_w2__dc2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.743571,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.145238}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__identity__ground_truth_region__inf__input__a,arithmetic_affine_w2__identity__ground_truth_region,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__identity__ground_truth_region__inf__output__y,arithmetic_affine_w2__identity__ground_truth_region,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.790000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.3}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__identity__whole_output_cone__inf__input__a,arithmetic_affine_w2__identity__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.900000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.666667}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__identity__whole_output_cone__inf__output__y,arithmetic_affine_w2__identity__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.790000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.3}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__refactor__whole_output_cone__inf__input__a,arithmetic_affine_w2__refactor__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.828571,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.428571}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__refactor__whole_output_cone__inf__output__y,arithmetic_affine_w2__refactor__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.743000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.143333}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__resub__whole_output_cone__inf__input__a,arithmetic_affine_w2__resub__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__resub__whole_output_cone__inf__output__y,arithmetic_affine_w2__resub__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.735000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.116667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__resyn__whole_output_cone__inf__input__a,arithmetic_affine_w2__resyn__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.940000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.8}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__resyn__whole_output_cone__inf__output__y,arithmetic_affine_w2__resyn__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.780000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.266667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__resyn2__whole_output_cone__inf__input__a,arithmetic_affine_w2__resyn2__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__resyn2__whole_output_cone__inf__output__y,arithmetic_affine_w2__resyn2__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.735000,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.116667}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__rewrite__whole_output_cone__inf__input__a,arithmetic_affine_w2__rewrite__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1""]","[""a_0"",""a_1""]",2,lsb_to_msb,unknown,0.945455,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.818182}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w2__rewrite__whole_output_cone__inf__output__y,arithmetic_affine_w2__rewrite__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4""]",5,lsb_to_msb,unknown,0.773571,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.245238}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__balance__whole_output_cone__inf__input__a,arithmetic_affine_w3__balance__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.847059,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.490196}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__balance__whole_output_cone__inf__output__y,arithmetic_affine_w3__balance__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.716865,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.056218}",0,y,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__compress2rs__whole_output_cone__inf__input__a,arithmetic_affine_w3__compress2rs__whole_output_cone,inferred_bus_mode,false,true,input,data_operand,"[""a_0"",""a_1"",""a_2""]","[""a_0"",""a_1"",""a_2""]",3,lsb_to_msb,unknown,0.850000,1.000000,0.800000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""a"",""name_prefix_score"":1.0,""structural_similarity_score"":0.5}",0,a,exact,1,semantic_bus_hypothesis_v1
arithmetic_affine_w3__compress2rs__whole_output_cone__inf__output__y,arithmetic_affine_w3__compress2rs__whole_output_cone,inferred_bus_mode,false,true,output,output,"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]","[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5""]",6,lsb_to_msb,unknown,0.722591,1.000000,1.000000,"[""name_prefix"",""index_contiguity"",""structural_similarity""]","{""index_contiguity_score"":1.0,""name_prefix"":""y"",""name_prefix_score"":1.0,""structural_similarity_score"":0.075303}",0,y,exact,1,semantic_bus_hypothesis_v1
