region_id,case_id,optimization,source_type,candidate_family,family_score,feature_contributions,rank,ground_truth_family,ground_truth_rank
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,arithmetic_multiply,0.916666,"{""broad_dependency"":0.35,""low_diagonal"":0.12499995,""multi_output"":0.15,""multiplier_geometry"":0.29166654999999997}",1,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,control_mux,0.650000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.2}",2,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,arithmetic_affine_or_mac,0.614583,"{""broad_dependency"":0.25,""carry_progression"":0.05208325,""moderate_bandwidth"":0.125,""multi_input"":0.1875}",3,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,comparison,0.450000,"{""high_bit_priority"":0.2,""high_density"":0.25,""single_output"":0.0}",4,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,arithmetic_add_sub,0.407917,"{""carry_progression"":0.09374985,""lower_triangularity"":0.10416675,""moderate_density"":0.11000000000000001,""multi_output"":0.1}",5,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,bit_manipulation,0.316667,"{""diagonal_or_shift"":0.04166675,""locality"":0.0,""regularity"":0.2,""sparse_or_permutation"":0.075}",6,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,boolean_bitwise,0.291667,"{""diagonal"":0.09166685000000001,""locality"":0.0,""regularity"":0.2}",7,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,unknown,0.050000,"{""fallback"":0.05}",8,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,arithmetic_multiply,0.916666,"{""broad_dependency"":0.35,""low_diagonal"":0.12499995,""multi_output"":0.15,""multiplier_geometry"":0.29166654999999997}",1,arithmetic_add_sub,5
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,control_mux,0.650000,"{""control_signal"":0.0,""multi_output"":0.25,""output_bus"":0.2,""regular_rows"":0.2}",2,arithmetic_add_sub,5
