benchmark,boundary_inputs,boundary_outputs,coi_internal_nodes,coi_name,failure_reason,generated_coi_valid,interpretation,optimization,recovery_attempted,recovery_success,segment_size,unresolved_path_nodes_enclosed
external_iscas85_c2670,,,new_n264;new_n265;new_n792,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",balance,False,False,3,0
external_iscas85_c2670,,,new_n264;new_n265;new_n792;new_n796;new_n904,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",balance,False,False,5,0
external_iscas85_c2670,,,new_n264;new_n265;new_n792;new_n796;new_n904;new_n906;new_n907;new_n909,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",balance,False,False,8,0
external_iscas85_c2670,,,new_n395;new_n267;new_n273,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",dc2,False,False,3,0
external_iscas85_c2670,,,new_n395;new_n267;new_n273;new_n792;new_n796,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",dc2,False,False,5,0
external_iscas85_c2670,,,new_n395;new_n267;new_n273;new_n792;new_n796;new_n796;new_n911;new_n919,critical_path_segment_8,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",dc2,False,False,8,0
external_iscas85_c2670,,,new_n796;new_n842;new_n844,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor,False,False,3,0
external_iscas85_c2670,,,new_n796;new_n842;new_n844;new_n845;new_n892,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor,False,False,5,0
external_iscas85_c2670,,,new_n796;new_n845;new_n924,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",refactor_z,False,False,3,0
external_iscas85_c2670,,,new_n396;new_n269;new_n272,critical_path_segment_3,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resub,False,False,3,0
external_iscas85_c2670,,,new_n396;new_n269;new_n272;new_n273;new_n792,critical_path_segment_5,missing_spec_circuit,False,"diagnostic COI only; enclosure is region-level evidence, not node equivalence",resub,False,False,5,0
