region_id,case_id,optimization,source_type,inference_mode,feature_mode,direction,ground_truth_bus_count,hypothesis_count,top_1_bus_match,top_3_bus_match,top_5_bus_match,exact_bus_partition_match,exact_ordered_bus_match,bus_membership_precision,bus_membership_recall,bit_order_accuracy,reversed_order_rate,control_input_accuracy,data_operand_accuracy,output_bus_accuracy,mean_ground_truth_rank,mrr
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,inferred_bus_mode,full_combined,input,3,3,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.611111
arithmetic_add_add_w2__identity__ground_truth_region,arithmetic_add_add_w2,identity,ground_truth_region,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,inferred_bus_mode,full_combined,input,3,3,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.611111
arithmetic_add_add_w2__identity__whole_output_cone,arithmetic_add_add_w2,identity,whole_output_cone,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
arithmetic_affine_w2__balance__whole_output_cone,arithmetic_affine_w2,balance,whole_output_cone,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
arithmetic_affine_w2__compress2rs__whole_output_cone,arithmetic_affine_w2,compress2rs,whole_output_cone,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
arithmetic_affine_w2__dc2__whole_output_cone,arithmetic_affine_w2,dc2,whole_output_cone,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
arithmetic_affine_w2__identity__ground_truth_region,arithmetic_affine_w2,identity,ground_truth_region,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
arithmetic_affine_w2__identity__whole_output_cone,arithmetic_affine_w2,identity,whole_output_cone,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
arithmetic_affine_w2__refactor__whole_output_cone,arithmetic_affine_w2,refactor,whole_output_cone,inferred_bus_mode,full_combined,output,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000
arithmetic_affine_w2__resub__whole_output_cone,arithmetic_affine_w2,resub,whole_output_cone,inferred_bus_mode,full_combined,input,1,1,true,true,true,true,true,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000
