region_id,case_id,benchmark,family,operator,optimization,source_type,spec_circuit_path,impl_circuit_path,region_nodes,boundary_inputs,boundary_outputs,observable_outputs,ground_truth_expression,ground_truth_input_buses,ground_truth_output_buses,ground_truth_signedness,ground_truth_width_semantics,formal_scope,context_mode,source_manifest,spec_fingerprint,impl_fingerprint,declared,circuit_available,region_available,structurally_valid,interface_extractable,eligible,attempted,status,skip_reason,schema_version
arithmetic_add_add_w12__balance__ground_truth_region,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,balance,ground_truth_region,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,ground_truth_region_not_available_for_optimized_variant,semantic_region_schema_v1
arithmetic_add_add_w12__balance__whole_output_cone,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,balance,whole_output_cone,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,truth_table_blif_intentionally_skipped,semantic_region_schema_v1
arithmetic_add_add_w12__compress2rs__ground_truth_region,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,compress2rs,ground_truth_region,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,ground_truth_region_not_available_for_optimized_variant,semantic_region_schema_v1
arithmetic_add_add_w12__compress2rs__whole_output_cone,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,compress2rs,whole_output_cone,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,truth_table_blif_intentionally_skipped,semantic_region_schema_v1
arithmetic_add_add_w12__dc2__ground_truth_region,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,dc2,ground_truth_region,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,ground_truth_region_not_available_for_optimized_variant,semantic_region_schema_v1
arithmetic_add_add_w12__dc2__whole_output_cone,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,dc2,whole_output_cone,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,truth_table_blif_intentionally_skipped,semantic_region_schema_v1
arithmetic_add_add_w12__identity__ground_truth_region,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,identity,ground_truth_region,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,truth_table_blif_intentionally_skipped,semantic_region_schema_v1
arithmetic_add_add_w12__identity__whole_output_cone,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,identity,whole_output_cone,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,truth_table_blif_intentionally_skipped,semantic_region_schema_v1
arithmetic_add_add_w12__refactor__ground_truth_region,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,refactor,ground_truth_region,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,ground_truth_region_not_available_for_optimized_variant,semantic_region_schema_v1
arithmetic_add_add_w12__refactor__whole_output_cone,arithmetic_add_add_w12,arithmetic_add_add_w12,arithmetic,add_add,refactor,whole_output_cone,,,[],[],[],"[""y_0"",""y_1"",""y_2"",""y_3"",""y_4"",""y_5"",""y_6"",""y_7"",""y_8"",""y_9"",""y_10"",""y_11"",""y_12"",""y_13""]",a + b + c,"[{""name"":""a"",""role"":""data"",""width"":12},{""name"":""b"",""role"":""data"",""width"":12},{""name"":""c"",""role"":""data"",""width"":12}]","[{""name"":""y"",""width"":14}]",unsigned,none,none,not_applicable,results/semantic_recovery/semantic_benchmark_manifest.csv,,,true,false,false,false,false,false,false,unsupported_case,truth_table_blif_intentionally_skipped,semantic_region_schema_v1
