proof_id,candidate_id,benchmark,proof_scope,formal_status,formal_evidence_level,solver_result,outputs_proven,counterexamples,counterexamples_reproduced,runtime_seconds,termination_reason,schema_version
joint_full_adder_missing_input__seed__j09__4fed40597a__proof,joint_full_adder_missing_input__seed__j09__4fed40597a,joint_full_adder_missing_input,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.053500,multi_output_miter_unsat,joint_proof_result_v1
joint_full_adder_missing_output__seed__j09__2eb71e559a__proof,joint_full_adder_missing_output__seed__j09__2eb71e559a,joint_full_adder_missing_output,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.003123,multi_output_miter_unsat,joint_proof_result_v1
joint_boolean_region__seed__j09__354f33107b__proof,joint_boolean_region__seed__j09__354f33107b,joint_boolean_region,formal_region_free_cut,formally_verified_region,formal_smt,unsat,1,0,1,0.001763,multi_output_miter_unsat,joint_proof_result_v1
joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b__proof,joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b,joint_affine_hidden_coefficients,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.012091,multi_output_miter_unsat,joint_proof_result_v1
joint_add_add__seed__j09__c90e04a2f0__proof,joint_add_add__seed__j09__c90e04a2f0,joint_add_add,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.011719,multi_output_miter_unsat,joint_proof_result_v1
joint_bilinear__seed__j09__70b22141ea__proof,joint_bilinear__seed__j09__70b22141ea,joint_bilinear,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.008960,multi_output_miter_unsat,joint_proof_result_v1
joint_mac__seed__j09__9f37686d78__proof,joint_mac__seed__j09__9f37686d78,joint_mac,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.011604,multi_output_miter_unsat,joint_proof_result_v1
joint_mux_reordered_outputs__seed__j09__432444d61d__proof,joint_mux_reordered_outputs__seed__j09__432444d61d,joint_mux_reordered_outputs,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.016323,multi_output_miter_unsat,joint_proof_result_v1
joint_negative_unaccounted_fanout__seed__j09__0a58a83023__proof,joint_negative_unaccounted_fanout__seed__j09__0a58a83023,joint_negative_unaccounted_fanout,formal_region_free_cut,formally_verified_region,formal_smt,unsat,2,0,2,0.002650,multi_output_miter_unsat,joint_proof_result_v1
joint_negative_dangling_fanin__seed__j09__b7a19168e8__proof,joint_negative_dangling_fanin__seed__j09__b7a19168e8,joint_negative_dangling_fanin,formal_region_free_cut,disproven_or_invalid_region,unresolved,sat_or_invalid,0,0,1,0.000398,closed,joint_proof_result_v1
