counterexample_id,target_id,universe_id,difference_set,difference_set_width,difference_set_hash,schema_version
d829fc3e6672d614_cex,min1,controlled::min1::U_control,"[""a""]",1,0eb5b8d6f81bc677,formal_locality_barriers_v1
e83d95c02f64b608_cex,min2_xor,controlled::min2_xor::U_control,"[""a""]",1,0eb5b8d6f81bc677,formal_locality_barriers_v1
5db9c43ab62a9b4d_cex,min2_xor,controlled::min2_xor::U_control,"[""b""]",1,a8950f05d3443e79,formal_locality_barriers_v1
1cea6712c8d24dd0_cex,min3_maj,controlled::min3_maj::U_control,"[""a""]",1,0eb5b8d6f81bc677,formal_locality_barriers_v1
13c4095ca2975fb8_cex,min3_maj,controlled::min3_maj::U_control,"[""b""]",1,a8950f05d3443e79,formal_locality_barriers_v1
41dd18cf6d19e41d_cex,min3_maj,controlled::min3_maj::U_control,"[""c""]",1,fd2079a3096d5abb,formal_locality_barriers_v1
46810f8460d34e52_cex,permute_invert,controlled::permute_invert::U_control,"[""a""]",1,0eb5b8d6f81bc677,formal_locality_barriers_v1
2f46d7cbaa31fa18_cex,permute_invert,controlled::permute_invert::U_control,"[""b""]",1,a8950f05d3443e79,formal_locality_barriers_v1
41278b04c19a8996_cex,nonlinear_and,controlled::nonlinear_and::U_control,"[""a""]",1,0eb5b8d6f81bc677,formal_locality_barriers_v1
1ab2245381a82731_cex,nonlinear_and,controlled::nonlinear_and::U_control,"[""b""]",1,a8950f05d3443e79,formal_locality_barriers_v1
8910ceaf96f2c5b6_cex,affine_bool,controlled::affine_bool::U_control,"[""a0""]",1,aa41e6e6bdbf623a,formal_locality_barriers_v1
770332434e1f8a08_cex,affine_bool,controlled::affine_bool::U_control,"[""a1""]",1,fa17105616474d39,formal_locality_barriers_v1
ccfb28a0317aae0a_cex,real_0001,real_0001::U0_direct_name_intersection,"[""a0"", ""new_n17""]",2,9b0621fcc0e56efc,formal_locality_barriers_v1
9f47204e83f425c4_cex,real_0001,real_0001::U0_direct_name_intersection,"[""b0"", ""new_n17""]",2,e423e66c6f0864fe,formal_locality_barriers_v1
c193c30efbb41e2e_cex,real_0002,real_0002::U0_direct_name_intersection,"[""a0"", ""new_n17""]",2,9b0621fcc0e56efc,formal_locality_barriers_v1
77bc49090a78bab3_cex,real_0002,real_0002::U0_direct_name_intersection,"[""b0"", ""new_n17""]",2,e423e66c6f0864fe,formal_locality_barriers_v1
5cec938ea52b370b_cex,real_0003,real_0003::U0_direct_name_intersection,"[""a0""]",1,aa41e6e6bdbf623a,formal_locality_barriers_v1
a205cf65f7a5cf06_cex,real_0003,real_0003::U0_direct_name_intersection,"[""b0""]",1,fc082bd4c4da92f7,formal_locality_barriers_v1
0525c3ade37e5e3a_cex,real_0003,real_0003::U0_direct_name_intersection,"[""cin"", ""new_n19""]",2,129db484b6b8f3b1,formal_locality_barriers_v1
f39416dcbf14e0e7_cex,real_0004,real_0004::U0_direct_name_intersection,"[""a0"", ""new_n17""]",2,9b0621fcc0e56efc,formal_locality_barriers_v1
c0480adb26c5a2f9_cex,real_0004,real_0004::U0_direct_name_intersection,"[""b0"", ""new_n17""]",2,e423e66c6f0864fe,formal_locality_barriers_v1
b999438e2959ea22_cex,real_0005,real_0005::U0_direct_name_intersection,"[""a0"", ""new_n17""]",2,9b0621fcc0e56efc,formal_locality_barriers_v1
bcafd34d4a251e9b_cex,real_0005,real_0005::U0_direct_name_intersection,"[""b0"", ""new_n17""]",2,e423e66c6f0864fe,formal_locality_barriers_v1
4520ee67b162b121_cex,real_0006,real_0006::U0_direct_name_intersection,"[""a0""]",1,aa41e6e6bdbf623a,formal_locality_barriers_v1
6e5eaec0d830a28a_cex,real_0006,real_0006::U0_direct_name_intersection,"[""b0""]",1,fc082bd4c4da92f7,formal_locality_barriers_v1
466743204142ee3d_cex,real_0006,real_0006::U0_direct_name_intersection,"[""cin"", ""new_n19""]",2,129db484b6b8f3b1,formal_locality_barriers_v1
a6da411f34b62250_cex,real_0007,real_0007::U0_direct_name_intersection,"[""d2"", ""new_n10"", ""s0""]",3,dc1f902ad6622a22,formal_locality_barriers_v1
6164f9f58abfa562_cex,real_0007,real_0007::U0_direct_name_intersection,"[""s0""]",1,c8106d0f8954433e,formal_locality_barriers_v1
cb343e0799785de9_cex,real_0007,real_0007::U0_direct_name_intersection,"[""d2"", ""new_n10""]",2,f4b51ed2a7518b15,formal_locality_barriers_v1
75622f049caef25e_cex,real_0007,real_0007::U0_direct_name_intersection,"[""new_n10"", ""s1""]",2,67888b1a97d1527c,formal_locality_barriers_v1
656f7e27f613d5ca_cex,real_0007,real_0007::U0_direct_name_intersection,"[""d2"", ""s1""]",2,63086ec1de4159f6,formal_locality_barriers_v1
83edd8c72272f4bb_cex,real_0007,real_0007::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
b78a139f00eaceda_cex,real_0008,real_0008::U0_direct_name_intersection,"[""d1"", ""s1""]",2,584e3c996d6d3d5b,formal_locality_barriers_v1
a37d080a54054fb3_cex,real_0008,real_0008::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
bb6268af982d778f_cex,real_0008,real_0008::U0_direct_name_intersection,"[""d1"", ""new_n12""]",2,0666431366a04b17,formal_locality_barriers_v1
58d0471ad14202f9_cex,real_0009,real_0009::U0_direct_name_intersection,"[""d2""]",1,4157ff962f7acb9d,formal_locality_barriers_v1
1e335ecaef09a4b0_cex,real_0009,real_0009::U0_direct_name_intersection,"[""s1""]",1,90afadf3c4de0eae,formal_locality_barriers_v1
ff4787d61f94879e_cex,real_0010,real_0010::U0_direct_name_intersection,"[""d6"", ""new_n18"", ""s0""]",3,aa63c8275d1bb7d0,formal_locality_barriers_v1
35f1a5a93748cde3_cex,real_0010,real_0010::U0_direct_name_intersection,"[""new_n18"", ""s0""]",2,d995e00b095e3689,formal_locality_barriers_v1
7f13bbee565e8b64_cex,real_0010,real_0010::U0_direct_name_intersection,"[""d6"", ""s0""]",2,3cbf49edcf6c0c9a,formal_locality_barriers_v1
fa71b93739768d15_cex,real_0010,real_0010::U0_direct_name_intersection,"[""d6"", ""new_n18""]",2,d6c66fdffb50bd52,formal_locality_barriers_v1
