counterexample_id,target_id,universe_id,assignment_a_path,assignment_b_path,target_a,target_b,difference_set,difference_set_hash,counterexample_reproduced,schema_version
d829fc3e6672d614_cex,min1,controlled::min1::U_control,counterexamples/d829fc3e6672d614_cex.a.json,counterexamples/d829fc3e6672d614_cex.b.json,[0],[1],"[""a""]",0eb5b8d6f81bc677,true,formal_locality_barriers_v1
e83d95c02f64b608_cex,min2_xor,controlled::min2_xor::U_control,counterexamples/e83d95c02f64b608_cex.a.json,counterexamples/e83d95c02f64b608_cex.b.json,[0],[1],"[""a""]",0eb5b8d6f81bc677,true,formal_locality_barriers_v1
5db9c43ab62a9b4d_cex,min2_xor,controlled::min2_xor::U_control,counterexamples/5db9c43ab62a9b4d_cex.a.json,counterexamples/5db9c43ab62a9b4d_cex.b.json,[0],[1],"[""b""]",a8950f05d3443e79,true,formal_locality_barriers_v1
1cea6712c8d24dd0_cex,min3_maj,controlled::min3_maj::U_control,counterexamples/1cea6712c8d24dd0_cex.a.json,counterexamples/1cea6712c8d24dd0_cex.b.json,[0],[1],"[""a""]",0eb5b8d6f81bc677,true,formal_locality_barriers_v1
13c4095ca2975fb8_cex,min3_maj,controlled::min3_maj::U_control,counterexamples/13c4095ca2975fb8_cex.a.json,counterexamples/13c4095ca2975fb8_cex.b.json,[0],[1],"[""b""]",a8950f05d3443e79,true,formal_locality_barriers_v1
41dd18cf6d19e41d_cex,min3_maj,controlled::min3_maj::U_control,counterexamples/41dd18cf6d19e41d_cex.a.json,counterexamples/41dd18cf6d19e41d_cex.b.json,[0],[1],"[""c""]",fd2079a3096d5abb,true,formal_locality_barriers_v1
46810f8460d34e52_cex,permute_invert,controlled::permute_invert::U_control,counterexamples/46810f8460d34e52_cex.a.json,counterexamples/46810f8460d34e52_cex.b.json,"[0, 1]","[0, 0]","[""a""]",0eb5b8d6f81bc677,true,formal_locality_barriers_v1
2f46d7cbaa31fa18_cex,permute_invert,controlled::permute_invert::U_control,counterexamples/2f46d7cbaa31fa18_cex.a.json,counterexamples/2f46d7cbaa31fa18_cex.b.json,"[0, 1]","[1, 1]","[""b""]",a8950f05d3443e79,true,formal_locality_barriers_v1
41278b04c19a8996_cex,nonlinear_and,controlled::nonlinear_and::U_control,counterexamples/41278b04c19a8996_cex.a.json,counterexamples/41278b04c19a8996_cex.b.json,[0],[1],"[""a""]",0eb5b8d6f81bc677,true,formal_locality_barriers_v1
1ab2245381a82731_cex,nonlinear_and,controlled::nonlinear_and::U_control,counterexamples/1ab2245381a82731_cex.a.json,counterexamples/1ab2245381a82731_cex.b.json,[0],[1],"[""b""]",a8950f05d3443e79,true,formal_locality_barriers_v1
8910ceaf96f2c5b6_cex,affine_bool,controlled::affine_bool::U_control,counterexamples/8910ceaf96f2c5b6_cex.a.json,counterexamples/8910ceaf96f2c5b6_cex.b.json,"[1, 0]","[0, 0]","[""a0""]",aa41e6e6bdbf623a,true,formal_locality_barriers_v1
770332434e1f8a08_cex,affine_bool,controlled::affine_bool::U_control,counterexamples/770332434e1f8a08_cex.a.json,counterexamples/770332434e1f8a08_cex.b.json,"[1, 0]","[1, 1]","[""a1""]",fa17105616474d39,true,formal_locality_barriers_v1
ccfb28a0317aae0a_cex,real_0001,real_0001::U0_direct_name_intersection,counterexamples/ccfb28a0317aae0a_cex.a.json,counterexamples/ccfb28a0317aae0a_cex.b.json,[0],[1],"[""a0"", ""new_n17""]",9b0621fcc0e56efc,true,formal_locality_barriers_v1
9f47204e83f425c4_cex,real_0001,real_0001::U0_direct_name_intersection,counterexamples/9f47204e83f425c4_cex.a.json,counterexamples/9f47204e83f425c4_cex.b.json,[0],[1],"[""b0"", ""new_n17""]",e423e66c6f0864fe,true,formal_locality_barriers_v1
c193c30efbb41e2e_cex,real_0002,real_0002::U0_direct_name_intersection,counterexamples/c193c30efbb41e2e_cex.a.json,counterexamples/c193c30efbb41e2e_cex.b.json,[0],[1],"[""a0"", ""new_n17""]",9b0621fcc0e56efc,true,formal_locality_barriers_v1
77bc49090a78bab3_cex,real_0002,real_0002::U0_direct_name_intersection,counterexamples/77bc49090a78bab3_cex.a.json,counterexamples/77bc49090a78bab3_cex.b.json,[0],[1],"[""b0"", ""new_n17""]",e423e66c6f0864fe,true,formal_locality_barriers_v1
5cec938ea52b370b_cex,real_0003,real_0003::U0_direct_name_intersection,counterexamples/5cec938ea52b370b_cex.a.json,counterexamples/5cec938ea52b370b_cex.b.json,[1],[0],"[""a0""]",aa41e6e6bdbf623a,true,formal_locality_barriers_v1
a205cf65f7a5cf06_cex,real_0003,real_0003::U0_direct_name_intersection,counterexamples/a205cf65f7a5cf06_cex.a.json,counterexamples/a205cf65f7a5cf06_cex.b.json,[1],[0],"[""b0""]",fc082bd4c4da92f7,true,formal_locality_barriers_v1
0525c3ade37e5e3a_cex,real_0003,real_0003::U0_direct_name_intersection,counterexamples/0525c3ade37e5e3a_cex.a.json,counterexamples/0525c3ade37e5e3a_cex.b.json,[1],[0],"[""cin"", ""new_n19""]",129db484b6b8f3b1,true,formal_locality_barriers_v1
f39416dcbf14e0e7_cex,real_0004,real_0004::U0_direct_name_intersection,counterexamples/f39416dcbf14e0e7_cex.a.json,counterexamples/f39416dcbf14e0e7_cex.b.json,[0],[1],"[""a0"", ""new_n17""]",9b0621fcc0e56efc,true,formal_locality_barriers_v1
c0480adb26c5a2f9_cex,real_0004,real_0004::U0_direct_name_intersection,counterexamples/c0480adb26c5a2f9_cex.a.json,counterexamples/c0480adb26c5a2f9_cex.b.json,[0],[1],"[""b0"", ""new_n17""]",e423e66c6f0864fe,true,formal_locality_barriers_v1
b999438e2959ea22_cex,real_0005,real_0005::U0_direct_name_intersection,counterexamples/b999438e2959ea22_cex.a.json,counterexamples/b999438e2959ea22_cex.b.json,[0],[1],"[""a0"", ""new_n17""]",9b0621fcc0e56efc,true,formal_locality_barriers_v1
bcafd34d4a251e9b_cex,real_0005,real_0005::U0_direct_name_intersection,counterexamples/bcafd34d4a251e9b_cex.a.json,counterexamples/bcafd34d4a251e9b_cex.b.json,[0],[1],"[""b0"", ""new_n17""]",e423e66c6f0864fe,true,formal_locality_barriers_v1
4520ee67b162b121_cex,real_0006,real_0006::U0_direct_name_intersection,counterexamples/4520ee67b162b121_cex.a.json,counterexamples/4520ee67b162b121_cex.b.json,[1],[0],"[""a0""]",aa41e6e6bdbf623a,true,formal_locality_barriers_v1
6e5eaec0d830a28a_cex,real_0006,real_0006::U0_direct_name_intersection,counterexamples/6e5eaec0d830a28a_cex.a.json,counterexamples/6e5eaec0d830a28a_cex.b.json,[1],[0],"[""b0""]",fc082bd4c4da92f7,true,formal_locality_barriers_v1
466743204142ee3d_cex,real_0006,real_0006::U0_direct_name_intersection,counterexamples/466743204142ee3d_cex.a.json,counterexamples/466743204142ee3d_cex.b.json,[1],[0],"[""cin"", ""new_n19""]",129db484b6b8f3b1,true,formal_locality_barriers_v1
a6da411f34b62250_cex,real_0007,real_0007::U0_direct_name_intersection,counterexamples/a6da411f34b62250_cex.a.json,counterexamples/a6da411f34b62250_cex.b.json,[0],[1],"[""d2"", ""new_n10"", ""s0""]",dc1f902ad6622a22,true,formal_locality_barriers_v1
6164f9f58abfa562_cex,real_0007,real_0007::U0_direct_name_intersection,counterexamples/6164f9f58abfa562_cex.a.json,counterexamples/6164f9f58abfa562_cex.b.json,[0],[1],"[""s0""]",c8106d0f8954433e,true,formal_locality_barriers_v1
cb343e0799785de9_cex,real_0007,real_0007::U0_direct_name_intersection,counterexamples/cb343e0799785de9_cex.a.json,counterexamples/cb343e0799785de9_cex.b.json,[1],[0],"[""d2"", ""new_n10""]",f4b51ed2a7518b15,true,formal_locality_barriers_v1
75622f049caef25e_cex,real_0007,real_0007::U0_direct_name_intersection,counterexamples/75622f049caef25e_cex.a.json,counterexamples/75622f049caef25e_cex.b.json,[0],[1],"[""new_n10"", ""s1""]",67888b1a97d1527c,true,formal_locality_barriers_v1
