case_id,benchmark,optimization,coi_name,context_mode,observable_outputs,ranking_mode,spec_node,impl_node,requested_polarity,proven_polarity,candidate_rank,mapping_category,evidence_level,equivalence_scope,proof_status,sat_result,proof_mode,proof_runtime_seconds,spec_fingerprint,impl_fingerprint,sampled_mismatch_rate,source_result_file,failure_reason
generated_adder_4|adder_bit1_carry_sum_region|dc2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,dc2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n17,new_n17,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.083446,cba3265239cadc70,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n17|new_n17|new_n17|inverted,generated_adder_4,resyn2,adder_bit1_carry_sum_region,global_output_odc,cout;sum0;sum1;sum2;sum3,combined,new_n17,new_n17,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.054355,cba3265239cadc70,d56b39ef50ec23cc,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n10|new_n10|inverted,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,out,combined,new_n10,new_n10,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.052089,840ed68260d04715,301a34b97bbe6d8f,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n13|new_n13|new_n13|positive,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,out,combined,new_n13,new_n13,positive,positive,4,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.053046,3130c86d9659833e,2799b82451997803,0.33333333333333337,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n10|new_n10|new_n8|positive,generated_mux_tree_4,resyn2,mux_tree_root,global_output_odc,out,combined,new_n10,new_n8,positive,positive,8,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.055435,840ed68260d04715,18f74f56ddc4e1cb,0.33333333333333337,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n10|new_n10|new_n10|inverted,generated_mux_tree_4,resyn2,mux_tree_root,coi_output_odc,out,combined,new_n10,new_n10,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.053932,840ed68260d04715,301a34b97bbe6d8f,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n13|new_n13|new_n13|positive,generated_mux_tree_4,resyn2,mux_tree_root,coi_output_odc,out,combined,new_n13,new_n13,positive,positive,4,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.055482,3130c86d9659833e,2799b82451997803,0.33333333333333337,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n10|new_n10|new_n8|positive,generated_mux_tree_4,resyn2,mux_tree_root,coi_output_odc,out,combined,new_n10,new_n8,positive,positive,8,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.053930,840ed68260d04715,18f74f56ddc4e1cb,0.33333333333333337,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|cost_guided|global_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_mux_tree_8,resyn2,mux_tree_upper_root,global_output_odc,out,combined,new_n21,new_n21,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.049418,9af0da0d86008dbd,b4e0e35f1f7dd01f,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|cost_guided|coi_output_odc|combined|new_n21|new_n21|new_n21|inverted,generated_mux_tree_8,resyn2,mux_tree_upper_root,coi_output_odc,out,combined,new_n21,new_n21,inverted,inverted,1,formal_odc_valid_anchor,formal_contextual,contextual,proven_odc_valid,verified_equivalent,abc_cec_contextual_miter,0.051772,9af0da0d86008dbd,b4e0e35f1f7dd01f,0.0,results/odc_anchor_generation/odc_formal_proofs.csv,
