target_instance_id,target_id,optimized_target_node,anchor_expression,minimal_support,rewrite_support,rewrite_support_status,rewrite_artifact,rewrite_emitted,graph_active,source_vs_rewrite_cec,rewrite_vs_optimized_cec,global_cec_status,objective_status,blocker,schema_version
fd7102d2b6950296,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,new_n17,not(new_n17),"[""a0"", ""b0""]","[""a0"", ""b0""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/fd7102d2b6950296.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
40225387e371bbff,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,new_n17,not(new_n17),"[""a0"", ""b0""]","[""a0"", ""b0""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/40225387e371bbff.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
a6027123aa978e43,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,new_n19,"truth_table(a0,b0,cin)","[""a0"", ""b0"", ""cin""]","[""a0"", ""b0"", ""cin""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/a6027123aa978e43.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
4995fa78bb43b875,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,new_n17,not(new_n17),"[""a0"", ""b0""]","[""a0"", ""b0""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/4995fa78bb43b875.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
cd0364edbbad7d4a,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,new_n17,not(new_n17),"[""a0"", ""b0""]","[""a0"", ""b0""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/cd0364edbbad7d4a.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
521753285300df99,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,new_n19,"truth_table(a0,b0,cin)","[""a0"", ""b0"", ""cin""]","[""a0"", ""b0"", ""cin""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/521753285300df99.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
ba9725bc5dc870c4,generated_mux_tree_4|mux_tree_root|dc2|new_n10,new_n10,"and(s0,not(new_n8))","[""d2"", ""s0"", ""s1""]","[""d2"", ""s0"", ""s1""]",minimal,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/ba9725bc5dc870c4.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
f621795ff558047f,generated_mux_tree_4|mux_tree_root|resyn2|new_n12,new_n12,"not(or(d1,not(s1)))","[""d1"", ""s1""]","[""d1"", ""s1"", ""d0""]",constructive_expanded_support,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/f621795ff558047f.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
f779aab85e65d0c7,generated_mux_tree_4|mux_tree_root|resyn2|new_n9,new_n9,"not(or(d2,s1))","[""d2"", ""s1""]","[""d2"", ""s1"", ""d0""]",constructive_expanded_support,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/f779aab85e65d0c7.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
719df80cc78cce51,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,new_n18,"truth_table(d6,s0)","[""d6"", ""s0""]","[""d6"", ""s0"", ""d0""]",constructive_expanded_support,results/evidence_advancement/artifacts/proof_carrying_virtual_anchors/719df80cc78cce51.blif,true,true,equivalent,equivalent,equivalent,graph_active_cec_recovery,,evidence_advancement_v1
