benchmark,optimization,optimized_node,rank,original_candidate,combined_score,simulation_similarity,support_overlap,depth_similarity,optimized_level,original_level,is_exact_signature_match,match_category,signature_match_on_patterns,formal_truth_table_match,pattern_count,is_formal_exact_mode,optimized_fingerprint,original_fingerprint,optimized_support_size,original_support_size,optimized_fanin_count,original_fanin_count,sat_reason,needs_sat_check,orig_blif,opt_blif
generated_multiplier_2,balance,new_n12,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,6e5b9cc600c9ba5f,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n13,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,bc22886038e77f69,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n16,2,new_n18,0.915625,0.9375,1.0,0.5,2,3,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,180ed9cabee9896e,4,4,2,2,top-10 non-exact SAT recovery check (score 0.916),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n16,3,new_n12,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,6e5b9cc600c9ba5f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n16,4,new_n13,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,bc22886038e77f69,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n17,2,new_n18,0.896875,0.8125,1.0,1.0,3,3,0,non_exact_candidate,0,0,16,1,17df62e1f96422cf,180ed9cabee9896e,4,4,2,2,top-10 non-exact SAT recovery check (score 0.897),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n18,2,new_n16,0.915625,0.9375,1.0,0.5,3,2,0,non_exact_candidate,0,0,16,1,180ed9cabee9896e,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.916),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,balance,new_n18,3,new_n17,0.896875,0.8125,1.0,1.0,3,3,0,non_exact_candidate,0,0,16,1,180ed9cabee9896e,17df62e1f96422cf,4,4,2,2,top-10 non-exact SAT recovery check (score 0.897),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_balance.blif
generated_multiplier_2,refactor,new_n12,2,new_n18,0.915625,0.9375,1.0,0.5,2,3,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,180ed9cabee9896e,4,4,2,2,top-10 non-exact SAT recovery check (score 0.916),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_refactor.blif
generated_multiplier_2,refactor,new_n12,3,new_n12,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,6e5b9cc600c9ba5f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_refactor.blif
generated_multiplier_2,refactor,new_n12,4,new_n13,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,bc22886038e77f69,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_refactor.blif
generated_multiplier_2,refactor_z,new_n12,2,new_n18,0.915625,0.9375,1.0,0.5,2,3,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,180ed9cabee9896e,4,4,2,2,top-10 non-exact SAT recovery check (score 0.916),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_refactor_z.blif
generated_multiplier_2,refactor_z,new_n12,3,new_n12,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,6e5b9cc600c9ba5f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_refactor_z.blif
generated_multiplier_2,refactor_z,new_n12,4,new_n13,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,b3241bdf7fc1326f,bc22886038e77f69,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_refactor_z.blif
generated_multiplier_2,resub,new_n12,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,6e5b9cc600c9ba5f,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_resub.blif
generated_multiplier_2,resub,new_n13,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,bc22886038e77f69,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_resub.blif
generated_multiplier_2,resyn,new_n12,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,6e5b9cc600c9ba5f,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_resyn.blif
generated_multiplier_2,resyn,new_n13,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,bc22886038e77f69,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_resyn.blif
generated_multiplier_2,rewrite,new_n12,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,6e5b9cc600c9ba5f,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_rewrite.blif
generated_multiplier_2,rewrite,new_n13,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,bc22886038e77f69,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_rewrite.blif
generated_multiplier_2,rewrite_z,new_n12,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,6e5b9cc600c9ba5f,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_rewrite_z.blif
generated_multiplier_2,rewrite_z,new_n13,2,new_n16,0.8624999999999999,0.75,1.0,1.0,2,2,0,non_exact_candidate,0,0,16,1,bc22886038e77f69,b3241bdf7fc1326f,4,4,2,2,top-10 non-exact SAT recovery check (score 0.862),True,variants/generated_multiplier_2_original.blif,variants/generated_multiplier_2_rewrite_z.blif
