quotient_id,candidate_id,benchmark,backend,quotient_status,completion_policy,input_order,output_order,rows,node_count,blif_path,rejection_reason,schema_version
distributed_affine_divisor__decomp__quotient,distributed_affine_divisor__decomp,distributed_affine_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""c0"", ""c1"", ""d0"", ""d1""]","[""y0"", ""y1"", ""z0"", ""z1""]",64,4,results/semantic_functional_refactoring/artifacts/distributed_affine_divisor.quotient.blif,,semantic_functional_refactoring_v1
shared_add_add_divisor__decomp__quotient,shared_add_add_divisor__decomp,shared_add_add_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]",16,4,results/semantic_functional_refactoring/artifacts/shared_add_add_divisor.quotient.blif,,semantic_functional_refactoring_v1
bilinear_divisor__decomp__quotient,bilinear_divisor__decomp,bilinear_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]",16,4,results/semantic_functional_refactoring/artifacts/bilinear_divisor.quotient.blif,,semantic_functional_refactoring_v1
mac_divisor__decomp__quotient,mac_divisor__decomp,mac_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]",16,4,results/semantic_functional_refactoring/artifacts/mac_divisor.quotient.blif,,semantic_functional_refactoring_v1
reordered_multi_output_divisor__decomp__quotient,reordered_multi_output_divisor__decomp,reordered_multi_output_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/semantic_functional_refactoring/artifacts/reordered_multi_output_divisor.quotient.blif,,semantic_functional_refactoring_v1
boolean_obscured_divisor__decomp__quotient,boolean_obscured_divisor__decomp,boolean_obscured_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0""]","[""o0"", ""o1""]",6,2,results/semantic_functional_refactoring/artifacts/boolean_obscured_divisor.quotient.blif,,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__decomp__quotient,closed_region_fails_decomposition_succeeds__decomp,closed_region_fails_decomposition_succeeds,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/semantic_functional_refactoring/artifacts/closed_region_fails_decomposition_succeeds.quotient.blif,,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__decomp__quotient,joint_bypass_fails_decomposition_succeeds__decomp,joint_bypass_fails_decomposition_succeeds,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/semantic_functional_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.quotient.blif,,semantic_functional_refactoring_v1
requires_residual_variable__decomp__quotient,requires_residual_variable__decomp,requires_residual_variable,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/semantic_functional_refactoring/artifacts/requires_residual_variable.quotient.blif,,semantic_functional_refactoring_v1
requires_multi_output_m__decomp__quotient,requires_multi_output_m__decomp,requires_multi_output_m,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0""]","[""o0"", ""o1""]",8,2,results/semantic_functional_refactoring/artifacts/requires_multi_output_m.quotient.blif,,semantic_functional_refactoring_v1
negative_information_lost__decomp__quotient,negative_information_lost__decomp,negative_information_lost,truth_table_exact,not_run_decomposition_failed,none,[],"[""o0""]",0,0,,decomposition_failed,semantic_functional_refactoring_v1
negative_h_ignores_m__decomp__quotient,negative_h_ignores_m__decomp,negative_h_ignores_m,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""r0""]","[""o0""]",4,1,results/semantic_functional_refactoring/artifacts/negative_h_ignores_m.quotient.blif,,semantic_functional_refactoring_v1
negative_identity_divisor__decomp__quotient,negative_identity_divisor__decomp,negative_identity_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1""]","[""o0"", ""o1""]",4,2,results/semantic_functional_refactoring/artifacts/negative_identity_divisor.quotient.blif,,semantic_functional_refactoring_v1
