candidate_id,region_id,formal_status,proof_scope,formal_evidence_level,formal_patterns,counterexample_available,counterexample_assignment,counterexample_output_difference,counterexample_source,formal_runtime,formal_skip_reason,schema_version
arithmetic_affine_w2__balance__whole_output_cone__cand_0025,arithmetic_affine_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000370,,semantic_formal_validation_v1
arithmetic_affine_w2__balance__whole_output_cone__cand_0005,arithmetic_affine_w2__balance__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000168,,semantic_formal_validation_v1
arithmetic_affine_w2__resyn__whole_output_cone__cand_0025,arithmetic_affine_w2__resyn__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000169,,semantic_formal_validation_v1
arithmetic_affine_w2__resyn__whole_output_cone__cand_0005,arithmetic_affine_w2__resyn__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000153,,semantic_formal_validation_v1
arithmetic_affine_w2__rewrite__whole_output_cone__cand_0025,arithmetic_affine_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000175,,semantic_formal_validation_v1
arithmetic_affine_w2__rewrite__whole_output_cone__cand_0005,arithmetic_affine_w2__rewrite__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000153,,semantic_formal_validation_v1
arithmetic_constant_multiply_w2__compress2rs__whole_output_cone__cand_0014,arithmetic_constant_multiply_w2__compress2rs__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000142,,semantic_formal_validation_v1
arithmetic_constant_multiply_w2__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w2__identity__ground_truth_region,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000140,,semantic_formal_validation_v1
arithmetic_constant_multiply_w2__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w2__identity__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000131,,semantic_formal_validation_v1
arithmetic_constant_multiply_w2__resyn2__whole_output_cone__cand_0014,arithmetic_constant_multiply_w2__resyn2__whole_output_cone,formally_verified_region,region,formal_exhaustive,4,false,{},,,0.000135,,semantic_formal_validation_v1
arithmetic_constant_multiply_w3__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w3__identity__ground_truth_region,formally_verified_region,region,formal_exhaustive,8,false,{},,,0.000280,,semantic_formal_validation_v1
arithmetic_constant_multiply_w3__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w3__identity__whole_output_cone,formally_verified_region,region,formal_exhaustive,8,false,{},,,0.000278,,semantic_formal_validation_v1
arithmetic_constant_multiply_w4__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w4__identity__ground_truth_region,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000817,,semantic_formal_validation_v1
arithmetic_constant_multiply_w4__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w4__identity__whole_output_cone,formally_verified_region,region,formal_exhaustive,16,false,{},,,0.000854,,semantic_formal_validation_v1
arithmetic_constant_multiply_w6__identity__ground_truth_region__cand_0014,arithmetic_constant_multiply_w6__identity__ground_truth_region,formally_verified_region,region,formal_exhaustive,64,false,{},,,0.013361,,semantic_formal_validation_v1
arithmetic_constant_multiply_w6__identity__whole_output_cone__cand_0014,arithmetic_constant_multiply_w6__identity__whole_output_cone,formally_verified_region,region,formal_exhaustive,64,false,{},,,0.013313,,semantic_formal_validation_v1
