ground_truth_family,predicted_family,count
arithmetic_add_sub,arithmetic_add_sub,8
arithmetic_add_sub,arithmetic_multiply,70
arithmetic_affine_or_mac,arithmetic_add_sub,26
arithmetic_affine_or_mac,arithmetic_multiply,8
arithmetic_multiply,arithmetic_add_sub,26
arithmetic_multiply,arithmetic_multiply,38
bit_manipulation,arithmetic_add_sub,99
bit_manipulation,arithmetic_affine_or_mac,4
bit_manipulation,arithmetic_multiply,53
bit_manipulation,bit_manipulation,16
bit_manipulation,boolean_bitwise,50
bit_manipulation,comparison,7
bit_manipulation,control_mux,23
boolean_bitwise,arithmetic_multiply,40
boolean_bitwise,comparison,34
boolean_bitwise,control_mux,64
comparison,boolean_bitwise,5
comparison,comparison,99
control_mux,arithmetic_multiply,8
control_mux,control_mux,8
