target_instance_id,target_id,source_result,benchmark,optimization_flow,optimized_target_node,source_artifact,optimized_artifact,replay_pair_id,replay_status,materialized_replay,target_support,target_support_size,target_truth_table_hash,decomposition_status,anchor_cut_id,anchor_expression,anchor_kind,backend,support_bound,blocker,schema_version
fd7102d2b6950296,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,old_materialized_anchor,generated_adder_4,dc2,new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,,native_variant_pair,true,"[""a0"", ""b0""]",2,1831277e368b3f87,complement_virtual_anchor,9b6fdc7b58f449f2,not(new_n17),source_node,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
40225387e371bbff,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,old_materialized_anchor,generated_adder_4,dc2,new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,,native_variant_pair,true,"[""a0"", ""b0""]",2,1831277e368b3f87,complement_virtual_anchor,9b6fdc7b58f449f2,not(new_n17),source_node,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
a6027123aa978e43,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,old_materialized_anchor,generated_adder_4,dc2,new_n19,variants/generated_adder_4_original.blif,variants/generated_adder_4_dc2.blif,,native_variant_pair,true,"[""a0"", ""b0"", ""cin""]",3,a4f3d41ddb394a66,pi_truth_table_anchor,,"truth_table(a0,b0,cin)",pi_truth_table,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
4995fa78bb43b875,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,old_materialized_anchor,generated_adder_4,resyn2,new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,,native_variant_pair,true,"[""a0"", ""b0""]",2,1831277e368b3f87,complement_virtual_anchor,9b6fdc7b58f449f2,not(new_n17),source_node,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
cd0364edbbad7d4a,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,old_materialized_anchor,generated_adder_4,resyn2,new_n17,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,,native_variant_pair,true,"[""a0"", ""b0""]",2,1831277e368b3f87,complement_virtual_anchor,9b6fdc7b58f449f2,not(new_n17),source_node,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
521753285300df99,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,old_materialized_anchor,generated_adder_4,resyn2,new_n19,variants/generated_adder_4_original.blif,variants/generated_adder_4_resyn2.blif,,native_variant_pair,true,"[""a0"", ""b0"", ""cin""]",3,a4f3d41ddb394a66,pi_truth_table_anchor,,"truth_table(a0,b0,cin)",pi_truth_table,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
ba9725bc5dc870c4,generated_mux_tree_4|mux_tree_root|dc2|new_n10,old_materialized_anchor,generated_mux_tree_4,dc2,new_n10,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_dc2.blif,,native_variant_pair,true,"[""d2"", ""s0"", ""s1""]",3,90736923a321caff,cegis_binary_decomposition,494c2623d154993a,"and(s0,not(new_n8))",virtual_binary_cut,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
f621795ff558047f,generated_mux_tree_4|mux_tree_root|resyn2|new_n12,old_materialized_anchor,generated_mux_tree_4,resyn2,new_n12,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,,native_variant_pair,true,"[""d1"", ""s1""]",2,645cbc78d7169af2,cegis_binary_decomposition,4655be3fe3303949,"not(or(d1,not(s1)))",virtual_binary_cut,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
f779aab85e65d0c7,generated_mux_tree_4|mux_tree_root|resyn2|new_n9,old_materialized_anchor,generated_mux_tree_4,resyn2,new_n9,variants/generated_mux_tree_4_original.blif,variants/generated_mux_tree_4_resyn2.blif,,native_variant_pair,true,"[""d2"", ""s1""]",2,1bc1c395d61603c2,cegis_binary_decomposition,dbc52605892a27e3,"not(or(d2,s1))",virtual_binary_cut,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
719df80cc78cce51,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,old_materialized_anchor,generated_mux_tree_8,dc2,new_n18,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,,native_variant_pair,true,"[""d6"", ""s0""]",2,9b81239eae17dade,pi_truth_table_anchor,,"truth_table(d6,s0)",pi_truth_table,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
2c656574a02c420c,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,old_materialized_anchor,generated_mux_tree_8,dc2,new_n24,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,,native_variant_pair,true,"[""d5"", ""s0""]",2,341622e9939b4375,pi_truth_table_anchor,,"truth_table(d5,s0)",pi_truth_table,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
6767fd4457763d9e,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,old_materialized_anchor,generated_mux_tree_8,dc2,new_n27,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,,native_variant_pair,true,"[""d0"", ""s0""]",2,a337d1be4e85b447,cegis_binary_decomposition,9e55d18a171e1004,"not(or(d0,s0))",virtual_binary_cut,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
ddd00e4932679977,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,old_materialized_anchor,generated_mux_tree_8,dc2,new_n28,variants/generated_mux_tree_8_original.blif,variants/generated_mux_tree_8_dc2.blif,,native_variant_pair,true,"[""d4"", ""s0""]",2,fc08d13bfc89c612,pi_truth_table_anchor,,"truth_table(d4,s0)",pi_truth_table,bounded_cut_bank_plus_pi_cegis,6,,evidence_advancement_v1
