target_id,universe_id,iteration,candidate_interface,candidate_width,lower_bound,exact_hitting_set_lower_bound,solver_status,solver_backend,runtime_s,counterexamples_before,counterexamples_after,counterexample_id,termination,schema_version
min1,controlled::min1::U_control,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000034,0,1,d829fc3e6672d614_cex,counterexample,formal_locality_barriers_v1
min1,controlled::min1::U_control,1,"[""a""]",1,1,true,unsat,exhaustive_two_copy_miter,0.000018,1,1,,sufficient,formal_locality_barriers_v1
min2_xor,controlled::min2_xor::U_control,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000015,0,1,e83d95c02f64b608_cex,counterexample,formal_locality_barriers_v1
min2_xor,controlled::min2_xor::U_control,1,"[""a""]",1,1,true,sat,exhaustive_two_copy_miter,0.000019,1,2,5db9c43ab62a9b4d_cex,counterexample,formal_locality_barriers_v1
min2_xor,controlled::min2_xor::U_control,2,"[""a"", ""b""]",2,2,true,unsat,exhaustive_two_copy_miter,0.000016,2,2,,sufficient,formal_locality_barriers_v1
min3_maj,controlled::min3_maj::U_control,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000028,0,1,1cea6712c8d24dd0_cex,counterexample,formal_locality_barriers_v1
min3_maj,controlled::min3_maj::U_control,1,"[""a""]",1,1,true,sat,exhaustive_two_copy_miter,0.000027,1,2,13c4095ca2975fb8_cex,counterexample,formal_locality_barriers_v1
min3_maj,controlled::min3_maj::U_control,2,"[""a"", ""b""]",2,2,true,sat,exhaustive_two_copy_miter,0.000037,2,3,41dd18cf6d19e41d_cex,counterexample,formal_locality_barriers_v1
min3_maj,controlled::min3_maj::U_control,3,"[""a"", ""b"", ""c""]",3,3,true,unsat,exhaustive_two_copy_miter,0.000039,3,3,,sufficient,formal_locality_barriers_v1
permute_invert,controlled::permute_invert::U_control,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000024,0,1,46810f8460d34e52_cex,counterexample,formal_locality_barriers_v1
permute_invert,controlled::permute_invert::U_control,1,"[""a""]",1,1,true,sat,exhaustive_two_copy_miter,0.000050,1,2,2f46d7cbaa31fa18_cex,counterexample,formal_locality_barriers_v1
permute_invert,controlled::permute_invert::U_control,2,"[""a"", ""b""]",2,2,true,unsat,exhaustive_two_copy_miter,0.000024,2,2,,sufficient,formal_locality_barriers_v1
nonlinear_and,controlled::nonlinear_and::U_control,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000017,0,1,41278b04c19a8996_cex,counterexample,formal_locality_barriers_v1
nonlinear_and,controlled::nonlinear_and::U_control,1,"[""a""]",1,1,true,sat,exhaustive_two_copy_miter,0.000017,1,2,1ab2245381a82731_cex,counterexample,formal_locality_barriers_v1
nonlinear_and,controlled::nonlinear_and::U_control,2,"[""a"", ""b""]",2,2,true,unsat,exhaustive_two_copy_miter,0.000013,2,2,,sufficient,formal_locality_barriers_v1
affine_bool,controlled::affine_bool::U_control,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000025,0,1,8910ceaf96f2c5b6_cex,counterexample,formal_locality_barriers_v1
affine_bool,controlled::affine_bool::U_control,1,"[""a0""]",1,1,true,sat,exhaustive_two_copy_miter,0.000028,1,2,770332434e1f8a08_cex,counterexample,formal_locality_barriers_v1
affine_bool,controlled::affine_bool::U_control,2,"[""a0"", ""a1""]",2,2,true,unsat,exhaustive_two_copy_miter,0.000024,2,2,,sufficient,formal_locality_barriers_v1
real_0001,real_0001::U0_direct_name_intersection,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000198,0,1,ccfb28a0317aae0a_cex,counterexample,formal_locality_barriers_v1
real_0001,real_0001::U0_direct_name_intersection,1,"[""a0""]",1,1,true,sat,exhaustive_two_copy_miter,0.000876,1,2,9f47204e83f425c4_cex,counterexample,formal_locality_barriers_v1
real_0001,real_0001::U0_direct_name_intersection,2,"[""new_n17""]",1,1,true,unsat,exhaustive_two_copy_miter,0.024454,2,2,,sufficient,formal_locality_barriers_v1
real_0002,real_0002::U0_direct_name_intersection,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000199,0,1,c193c30efbb41e2e_cex,counterexample,formal_locality_barriers_v1
real_0002,real_0002::U0_direct_name_intersection,1,"[""a0""]",1,1,true,sat,exhaustive_two_copy_miter,0.000900,1,2,77bc49090a78bab3_cex,counterexample,formal_locality_barriers_v1
real_0002,real_0002::U0_direct_name_intersection,2,"[""new_n17""]",1,1,true,unsat,exhaustive_two_copy_miter,0.024053,2,2,,sufficient,formal_locality_barriers_v1
real_0003,real_0003::U0_direct_name_intersection,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000199,0,1,5cec938ea52b370b_cex,counterexample,formal_locality_barriers_v1
real_0003,real_0003::U0_direct_name_intersection,1,"[""a0""]",1,1,true,sat,exhaustive_two_copy_miter,0.000903,1,2,a205cf65f7a5cf06_cex,counterexample,formal_locality_barriers_v1
real_0003,real_0003::U0_direct_name_intersection,2,"[""a0"", ""b0""]",2,2,true,sat,exhaustive_two_copy_miter,0.012109,2,3,0525c3ade37e5e3a_cex,counterexample,formal_locality_barriers_v1
real_0003,real_0003::U0_direct_name_intersection,3,"[""a0"", ""b0"", ""cin""]",3,3,true,unsat,exhaustive_two_copy_miter,0.024046,3,3,,sufficient,formal_locality_barriers_v1
real_0004,real_0004::U0_direct_name_intersection,0,[],0,0,true,sat,exhaustive_two_copy_miter,0.000204,0,1,f39416dcbf14e0e7_cex,counterexample,formal_locality_barriers_v1
real_0004,real_0004::U0_direct_name_intersection,1,"[""a0""]",1,1,true,sat,exhaustive_two_copy_miter,0.000909,1,2,c0480adb26c5a2f9_cex,counterexample,formal_locality_barriers_v1
real_0004,real_0004::U0_direct_name_intersection,2,"[""new_n17""]",1,1,true,unsat,exhaustive_two_copy_miter,0.023653,2,2,,sufficient,formal_locality_barriers_v1
