window_id,candidate_id,benchmark,split,window_origin,window_inputs,window_outputs,window_nodes,residual_interface,window_size,selected,rejection_reason,schema_version
distributed_affine_divisor__source_window,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""c0"", ""c1"", ""d0"", ""d1""]","[""y0"", ""y1"", ""z0"", ""z1""]","[""y0"", ""y1"", ""z0"", ""z1""]","[""c0"", ""c1"", ""d0"", ""d1""]",4,true,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__source_window,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""r0"", ""r1""]",4,true,,active_source_counterpart_refactoring_v1
bilinear_divisor__source_window,bilinear_divisor__active_source_counterpart,bilinear_divisor,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""r0"", ""r1""]",4,true,,active_source_counterpart_refactoring_v1
mac_divisor__source_window,mac_divisor__active_source_counterpart,mac_divisor,dev,bounded_source_consumer_window,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""r0"", ""r1""]",4,true,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__source_window,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",2,true,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__source_window,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""r0""]","[""o0"", ""o1""]","[""o0"", ""o1""]","[""r0""]",2,true,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__source_window,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",2,true,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__source_window,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,heldout,bounded_source_consumer_window,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",2,true,,active_source_counterpart_refactoring_v1
requires_residual_variable__source_window,requires_residual_variable__active_source_counterpart,requires_residual_variable,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",2,true,,active_source_counterpart_refactoring_v1
requires_multi_output_m__source_window,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,dev,bounded_source_consumer_window,"[""x0"", ""x1"", ""r0""]","[""o0"", ""o1""]","[""o0"", ""o1""]","[""r0""]",2,true,,active_source_counterpart_refactoring_v1
negative_information_lost__source_window,negative_information_lost__active_source_counterpart,negative_information_lost,heldout,bounded_source_consumer_window,"[""x0"", ""x1""]","[""o0""]","[""o0""]",[],1,true,,active_source_counterpart_refactoring_v1
negative_h_ignores_m__source_window,negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,dev,bounded_source_consumer_window,"[""x0"", ""r0""]","[""o0""]","[""o0""]","[""r0""]",1,true,,active_source_counterpart_refactoring_v1
negative_identity_divisor__source_window,negative_identity_divisor__active_source_counterpart,negative_identity_divisor,dev,bounded_source_consumer_window,"[""x0"", ""x1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",[],2,true,,active_source_counterpart_refactoring_v1
