region_id,benchmark,candidate_status,implementation_nodes,input_cut,output_cut,external_fanout_edges,rank,score,rejection_reason,schema_version
controlled_full_adder,controlled_full_adder,candidate,"[""ab"", ""ac"", ""bc"", ""cout"", ""sum"", ""xab""]","[""a"", ""b"", ""cin""]","[""sum"", ""cout""]",[],1,1.000000,,semantic_region_candidate_v1
controlled_affine,controlled_affine,candidate,"[""y0"", ""y1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""y0"", ""y1""]",[],1,1.000000,,semantic_region_candidate_v1
controlled_add_add,controlled_add_add,candidate,"[""y0"", ""y1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""y0"", ""y1""]",[],1,1.000000,,semantic_region_candidate_v1
controlled_bilinear,controlled_bilinear,candidate,"[""y0"", ""y1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""y0"", ""y1""]",[],1,1.000000,,semantic_region_candidate_v1
controlled_mac,controlled_mac,candidate,"[""y0"", ""y1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""y0"", ""y1""]",[],1,1.000000,,semantic_region_candidate_v1
negative_dangling_fanin,negative_dangling_fanin,candidate,"[""sum"", ""xab""]","[""a"", ""b"", ""cin""]","[""sum""]",[],1,1.000000,,semantic_region_candidate_v1
negative_multiple_driver,negative_multiple_driver,candidate,"[""sum"", ""xab""]","[""a"", ""b"", ""cin""]","[""sum""]",[],1,1.000000,,semantic_region_candidate_v1
real_revisit_0001__bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],1,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0002__bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],2,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0003__bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],3,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0004__bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],4,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
real_revisit_0005__bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],5,0.000000,no_exact_observable_output_context_frontier,semantic_region_candidate_v1
real_revisit_0006__bitmanip_sign_extend_w6__identity__ground_truth_region,bitmanip_sign_extend_w6__identity__ground_truth_region,rejected,[],[],[],[],6,0.000000,no_candidate_removes_bypasses_under_bounds,semantic_region_candidate_v1
real_revisit_0007__bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],7,0.000000,no_mapped_cut_leaves_for_in_place_rewrite,semantic_region_candidate_v1
real_revisit_0008__bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],8,0.000000,no_legal_equivalent_spec_fanout_edge,semantic_region_candidate_v1
real_revisit_0009__bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],9,0.000000,semantic_target_outside_relevant_frontier,semantic_region_candidate_v1
real_revisit_0010__bitmanip_sign_extend_w6__identity__whole_output_cone,bitmanip_sign_extend_w6__identity__whole_output_cone,rejected,[],[],[],[],10,0.000000,extension_would_require_unbounded_region_or_whole_design,semantic_region_candidate_v1
