benchmark,family,expected_outcome,final_status,counterpart_proof_status,decomposition_status,quotient_status,quotient_proof_status,graph_active,source_cec_status,cross_cec_status,usable_anchor,new_recovered_boundary,rejection_reason,schema_version
distributed_affine_divisor,affine,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
shared_add_add_divisor,add_add,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
bilinear_divisor,bilinear,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
mac_divisor,mac,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor,multi_output,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor,mask,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds,affine,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds,add_add,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
requires_residual_variable,constant_multiply,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
requires_multi_output_m,multi_output,positive_refactoring,accepted,proven_counterpart_equivalent,decomposable,synthesized_truth_table,quotient_equivalent,true,equivalent,equivalent,true,true,,active_source_counterpart_refactoring_v1
negative_information_lost,negative,negative_non_decomposable,rejected,not_run,non_decomposable,not_run_decomposition_failed,not_run,false,not_run,not_run,false,false,decomposition_disproved_for_selected_source_window,active_source_counterpart_refactoring_v1
negative_h_ignores_m,negative,negative_vacuous,rejected,not_run,decomposable,synthesized_truth_table,quotient_equivalent,false,not_run,not_run,false,false,quotient_ignores_w,active_source_counterpart_refactoring_v1
negative_identity_divisor,negative,negative_identity,rejected,not_run,decomposable,synthesized_truth_table,quotient_equivalent,false,not_run,not_run,false,false,identity_vacuous_refactoring,active_source_counterpart_refactoring_v1
