benchmark,source_family,optimization,command_flow,supported,controlled_example,node_names_survived,surviving_node_count,expected_node_count,merge_info_visible,equivalence_classes_exposed,node_count_before,node_count_after,level_count_before,level_count_after,runtime_seconds,swept_blif_path,stdout_stderr_snippet,notes
controlled_probe,controlled,none,fraig -x,False,capability_probe,False,0,0,False,False,,,,,0.0448,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) usage: fraig [-R num] [-D num] [-C num] [-rscpvtah] transforms a logic network into a functionally reduced AIG (known bugs: takes an UNSAT miter and returns a SAT one) (there are newer fraiging commands, ""ifraig"" and ""dfraig"") -R num : number of random patterns (127 < num < 32769) [default = 2048] -D num : number of systematic patterns (127 < num < 32769) [default = 2048] -C num : number of backtracks for one SAT problem [default = 100] -r : toggle functional reduction [default = yes] -s : toggle considering sparse functions [default = yes] -c : toggle accumulation of choices [default = no] -p : toggle proving the miter outputs [default =",capability probe for provenance-oriented command; ABC reported unsupported command or option
controlled_probe,controlled,none,fraig -y,False,capability_probe,False,0,0,False,False,,,,,0.0201,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) usage: fraig [-R num] [-D num] [-C num] [-rscpvtah] transforms a logic network into a functionally reduced AIG (known bugs: takes an UNSAT miter and returns a SAT one) (there are newer fraiging commands, ""ifraig"" and ""dfraig"") -R num : number of random patterns (127 < num < 32769) [default = 2048] -D num : number of systematic patterns (127 < num < 32769) [default = 2048] -C num : number of backtracks for one SAT problem [default = 100] -r : toggle functional reduction [default = yes] -s : toggle considering sparse functions [default = yes] -c : toggle accumulation of choices [default = no] -p : toggle proving the miter outputs [default =",capability probe for provenance-oriented command; ABC reported unsupported command or option
controlled_probe,controlled,none,print_fanio,True,capability_probe,False,0,0,False,False,,,,,0.0188,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) The distribution of fanins and fanouts in the network: Number Nodes with fanin Nodes with fanout 1 : 1 2 : 2 1 Fanins: Max = 2. Ave = 2.00. Fanouts: Max = 2. Ave = 1.50. ***EOF***",capability probe for provenance-oriented command
controlled_probe,controlled,none,print_factor,False,capability_probe,False,0,0,False,False,,,,,0.0193,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) Error: Printing factored forms can be done for SOP networks. ***EOF***",capability probe for provenance-oriented command; ABC reported unsupported command or option
controlled_probe,controlled,none,print_gates,False,capability_probe,False,0,0,False,False,,,,,0.0191,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) Error: Printing gates does not work for AIGs and sequential AIGs. ***EOF***",capability probe for provenance-oriented command; ABC reported unsupported command or option
controlled_probe,controlled,none,choice,False,capability_probe,False,0,0,False,False,,,,,0.0193,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) duplicate_and : i/o = 3/ 3 lat = 0 and = 2 lev = 1 ***EOF*** ** cmd error: unknown command 'choice' (this is likely caused by using an alias defined in ""abc.rc"" without having this file in the current or parent directory)",capability probe for provenance-oriented command; ABC reported unsupported command or option
controlled_probe,controlled,none,dump_equiv_self,True,capability_probe,False,0,0,False,True,,,,,0.0236,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) Matched 3 vars by name. ***EOF*** # Node equivalences computed by ABC for networks ""duplicate_and"" and ""duplicate_and"" on Mon Jun 29 21:18:49 2026 1:duplicate_and:n_ab1 1:duplicate_and:n_ab2 1:duplicate_and:y1 1:duplicate_and:y2 1:duplicate_and:n_ab1 1:duplicate_and:n_ab2 1:duplicate_and:y1 1:duplicate_and:y2 2:duplicate_and:y3 2:duplicate_and:y3",capability probe for provenance-oriented command; dump file was created
controlled_probe,controlled,none,cec_self,True,capability_probe,False,0,0,False,False,,,,,0.0201,,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) Networks are equivalent after structural hashing. Time = 0.00 sec ***EOF***",capability probe for provenance-oriented command
duplicate_and,controlled,none,fraig,True,duplicate_and,False,0,2,False,False,2,2,1,1,0.0211,<tmp>,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) duplicate_and : i/o = 3/ 3 lat = 0 and = 2 lev = 1 duplicate_and : i/o = 3/ 3 lat = 0 and = 2 lev = 1 ***EOF***",Two internal nodes compute the same AND function.; expected internal node names did not survive in written BLIF; no visible merge/provenance details in stdout
duplicate_and,controlled,none,amp_fraig_x,True,duplicate_and,False,0,2,False,False,2,2,1,1,0.0218,<tmp>,"UC Berkeley, ABC 1.01 (compiled Jun 13 2026 17:59:16) duplicate_and : i/o = 3/ 3 lat = 0 and = 2 lev = 1 duplicate_and : i/o = 3/ 3 lat = 0 and = 2 lev = 1 ***EOF***",Two internal nodes compute the same AND function.; expected internal node names did not survive in written BLIF; no visible merge/provenance details in stdout
