case_id,benchmark,optimization,coi_name,expression_id,cut_id,target_impl_node,expression_ast,expression_text,truth_table_hash,operator_count,logic_node_count,expression_depth,estimated_cost,minimization_backend,canonical_hash
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,expr_a5c3dd48facf21ed,new_n17|cut6,new_n17,truth_table_lut:0110,(a0 & !b0) | (!a0 & b0),a5c3dd48facf21ed,3,1,2,3,truth_table_direct,a5c3dd48facf21ed
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,generated_adder_4,dc2,adder_bit1_carry_sum_region,expr_897c711841ec6b2b,new_n17|cut7,new_n17,truth_table_lut:01100000,(a0 & !b0 & !new_n15) | (!a0 & b0 & !new_n15),897c711841ec6b2b,5,1,2,5,truth_table_direct,897c711841ec6b2b
generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,generated_adder_4,dc2,adder_bit1_carry_sum_region,expr_809c8f259f563c0d,new_n19|cut13,new_n19,truth_table_lut:10010000,(!a0 & !b0 & !cin) | (a0 & b0 & !cin),809c8f259f563c0d,5,1,2,5,truth_table_direct,809c8f259f563c0d
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,resyn2,adder_bit1_carry_sum_region,expr_a5c3dd48facf21ed,new_n17|cut6,new_n17,truth_table_lut:0110,(a0 & !b0) | (!a0 & b0),a5c3dd48facf21ed,3,1,2,3,truth_table_direct,a5c3dd48facf21ed
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,generated_adder_4,resyn2,adder_bit1_carry_sum_region,expr_897c711841ec6b2b,new_n17|cut7,new_n17,truth_table_lut:01100000,(a0 & !b0 & !new_n15) | (!a0 & b0 & !new_n15),897c711841ec6b2b,5,1,2,5,truth_table_direct,897c711841ec6b2b
generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,generated_adder_4,resyn2,adder_bit1_carry_sum_region,expr_809c8f259f563c0d,new_n19|cut13,new_n19,truth_table_lut:10010000,(!a0 & !b0 & !cin) | (a0 & b0 & !cin),809c8f259f563c0d,5,1,2,5,truth_table_direct,809c8f259f563c0d
generated_mux_tree_4|mux_tree_root|dc2|new_n10,generated_mux_tree_4,dc2,mux_tree_root,expr_0b08e3dcc50fe4e5,new_n10|cut3,new_n10,truth_table_lut:0010,(!new_n9 & s0),0b08e3dcc50fe4e5,1,1,2,1,truth_table_direct,0b08e3dcc50fe4e5
generated_mux_tree_4|mux_tree_root|resyn2|new_n12,generated_mux_tree_4,resyn2,mux_tree_root,expr_0b08e3dcc50fe4e5,new_n12|cut3,new_n12,truth_table_lut:0010,(!d1 & s1),0b08e3dcc50fe4e5,1,1,2,1,truth_table_direct,0b08e3dcc50fe4e5
generated_mux_tree_4|mux_tree_root|resyn2|new_n9,generated_mux_tree_4,resyn2,mux_tree_root,expr_40510175845988f1,new_n9|cut3,new_n9,truth_table_lut:1000,(!d2 & !s1),40510175845988f1,1,1,2,1,truth_table_direct,40510175845988f1
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,generated_mux_tree_8,dc2,mux_tree_upper_root,expr_0b08e3dcc50fe4e5,new_n18|cut3,new_n18,truth_table_lut:0010,(!d6 & s0),0b08e3dcc50fe4e5,1,1,2,1,truth_table_direct,0b08e3dcc50fe4e5
generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,generated_mux_tree_8,dc2,mux_tree_upper_root,expr_0b08e3dcc50fe4e5,new_n24|cut3,new_n24,truth_table_lut:0010,(!d5 & s0),0b08e3dcc50fe4e5,1,1,2,1,truth_table_direct,0b08e3dcc50fe4e5
