analysis_target_id,target_id,repair_action,repair_status,rerun_status,notes,schema_version
real_0001,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0002,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0003,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n19,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0004,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0005,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n17,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0006,generated_adder_4|adder_bit1_carry_sum_region|resyn2|new_n19,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0007,generated_mux_tree_4|mux_tree_root|dc2|new_n10,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0008,generated_mux_tree_4|mux_tree_root|resyn2|new_n12,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0009,generated_mux_tree_4|mux_tree_root|resyn2|new_n9,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0010,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n18,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0011,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n24,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0012,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n27,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0013,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n28,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0014,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n15,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0015,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n19,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0016,generated_mux_tree_8|mux_tree_upper_root|dc2|new_n29,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0017,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n15,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0018,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n19,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0019,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n29,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0020,generated_mux_tree_8|mux_tree_upper_root|resyn2|new_n20,output_interface_backend_added_no_graph_rewrite_without_target_utility,diagnostic_backend_added_no_graph_transplant_acceptance,certificate_pipeline_rerun,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0021,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0022,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0023,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0024,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0025,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0026,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0027,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0028,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0029,controlled_and_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0030,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0031,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0032,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0033,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0034,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0035,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
real_0036,controlled_nonmonotonic_factor__b0,provenance_repair_required,not_applicable,not_run_for_provenance_failure,No blind real graph rewrite is counted from certificate-guided diagnostics.,formal_locality_barriers_v1
