adapter_id,candidate_id,adapter_kind,backend,mode,rows,input_width,output_width,artifact_path,implementation_status,schema_version
permute_invert_adapter__xplant__Ein,permute_invert_adapter__xplant,input,truth_table_exact,direct,4,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__Eout,permute_invert_adapter__xplant,output,truth_table_exact,direct,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Ein,xor_basis_adapter__xplant,input,truth_table_exact,relational,4,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__Eout,xor_basis_adapter__xplant,output,truth_table_exact,relational,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Ein,nonlinear_boolean_adapter__xplant,input,truth_table_exact,relational,16,4,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__Eout,nonlinear_boolean_adapter__xplant,output,truth_table_exact,relational,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Ein,multi_output_region__xplant,input,truth_table_exact,direct,4,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
multi_output_region__xplant__Eout,multi_output_region__xplant,output,truth_table_exact,direct,12,4,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Ein,residual_output_adapter__xplant,input,truth_table_exact,direct,4,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__Eout,residual_output_adapter__xplant,output,truth_table_exact,direct,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Ein,grow_forward_region__xplant,input,truth_table_exact,direct,8,3,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__Eout,grow_forward_region__xplant,output,truth_table_exact,direct,16,4,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Ein,affine_transplant__xplant,input,truth_table_exact,direct,4,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
affine_transplant__xplant__Eout,affine_transplant__xplant,output,truth_table_exact,direct,16,4,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Ein,add_add_transplant__xplant,input,truth_table_exact,direct,8,3,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
add_add_transplant__xplant__Eout,add_add_transplant__xplant,output,truth_table_exact,direct,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Ein,bilinear_transplant__xplant,input,truth_table_exact,relational,8,3,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
bilinear_transplant__xplant__Eout,bilinear_transplant__xplant,output,truth_table_exact,relational,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Ein,mac_transplant__xplant,input,truth_table_exact,direct,8,3,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
mac_transplant__xplant__Eout,mac_transplant__xplant,output,truth_table_exact,direct,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Ein,mux_transplant__xplant,input,truth_table_exact,direct,8,3,3,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
mux_transplant__xplant__Eout,mux_transplant__xplant,output,truth_table_exact,direct,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Ein,mask_constmul_transplant__xplant,input,truth_table_exact,direct,2,1,1,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
mask_constmul_transplant__xplant__Eout,mask_constmul_transplant__xplant,output,truth_table_exact,direct,8,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Ein,negative_no_input_adapter__xplant,input,truth_table_exact,direct,0,1,1,,not_emitted,cross_netlist_cut_transplantation_v1
negative_no_input_adapter__xplant__Eout,negative_no_input_adapter__xplant,output,truth_table_exact,direct,4,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Ein,negative_no_output_adapter__xplant,input,truth_table_exact,direct,2,1,1,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_no_output_adapter__xplant__Eout,negative_no_output_adapter__xplant,output,truth_table_exact,direct,0,2,2,,not_emitted,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Ein,negative_target_not_influential__xplant,input,truth_table_exact,direct,2,1,1,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_target_not_influential__xplant__Eout,negative_target_not_influential__xplant,output,truth_table_exact,direct,4,3,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Ein,negative_whole_design__xplant,input,truth_table_exact,direct,2,1,1,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_whole_design__xplant__Eout,negative_whole_design__xplant,output,truth_table_exact,direct,2,1,1,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Ein,negative_global_cec__xplant,input,truth_table_exact,direct,2,1,1,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
negative_global_cec__xplant__Eout,negative_global_cec__xplant,output,truth_table_exact,direct,3,2,2,,emitted_blif_nodes,cross_netlist_cut_transplantation_v1
