failure_class,definition,denominator_class,count,example,evidence_file,implication,schema_version
missing_optimized_artifact,Historical row lacks a usable optimized artifact for proof replay.,historical_ineligible_diagnostic,36,controlled_and_factor__b0,results/provenance_eligibility_audit/provenance_reconstruction.csv,Historical rows cannot support transplantation or recovery claims.,research_wow_v1
historical_target_irrelevant_after_reconstruction,Historical artifact can be reconstructed but the selected target is not necessary for the audited interface.,historical_diagnostic,20,generated_adder_4|adder_bit1_carry_sum_region|dc2|new_n17,results/provenance_eligibility_audit/provenance_reconstruction.csv,The corrected historical eligible transplantation denominator remains zero.,research_wow_v1
non_compact_exact_input_interface,A target passes necessity filtering but the exact input interface exceeds the compact bound.,generated_research_benchmark,17,d049016af490d397,results/necessity_first_target_discovery/formal_locality_results.csv,"Locality, not solver soundness, blocks many generated targets.",research_wow_v1
no_validated_graph_rewrite_artifact,A target is auditable but no graph-active rewrite artifact is emitted.,generated_research_benchmark,48,f0b703ccb6f1d95d,results/necessity_first_target_discovery/graph_rewrites.csv,Exact interface evidence is kept separate from graph-rewrite recovery.,research_wow_v1
active_source_counterpart::controlled::decomposition::decomposition_disproved_for_selected_source_window,active_source_counterpart failure row from the committed taxonomy.,controlled,1,decomposition_disproved_for_selected_source_window,results/active_source_counterpart_refactoring/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
active_source_counterpart::controlled::non_vacuity::identity_vacuous_refactoring,active_source_counterpart failure row from the committed taxonomy.,controlled,1,identity_vacuous_refactoring,results/active_source_counterpart_refactoring/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
active_source_counterpart::controlled::quotient::quotient_ignores_w,active_source_counterpart failure row from the committed taxonomy.,controlled,1,quotient_ignores_w,results/active_source_counterpart_refactoring/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
active_source_counterpart::real::anchored_cut_discovery::no_globally_anchored_cut,active_source_counterpart failure row from the committed taxonomy.,real,36,no_globally_anchored_cut,results/active_source_counterpart_refactoring/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
active_source_counterpart::real::source_window_discovery::no_relevant_source_consumer_window_under_bounds,active_source_counterpart failure row from the committed taxonomy.,real,20,no_relevant_source_consumer_window_under_bounds,results/active_source_counterpart_refactoring/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::controlled::global_cec::global_cec_failed,cross_netlist_transplant failure row from the committed taxonomy.,controlled,1,global_cec_failed,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::controlled::input_adapter::no_exact_input_adapter,cross_netlist_transplant failure row from the committed taxonomy.,controlled,1,no_exact_input_adapter,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::controlled::locality::whole_design_transplant_diagnostic,cross_netlist_transplant failure row from the committed taxonomy.,controlled,1,whole_design_transplant_diagnostic,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::controlled::output_adapter::no_exact_output_adapter,cross_netlist_transplant failure row from the committed taxonomy.,controlled,1,no_exact_output_adapter,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::controlled::target_influence::target_does_not_influence_bi,cross_netlist_transplant failure row from the committed taxonomy.,controlled,1,target_does_not_influence_bi,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::real::input_interface_sufficiency::no_globally_anchored_cut,cross_netlist_transplant failure row from the committed taxonomy.,real,36,no_globally_anchored_cut,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
cross_netlist_transplant::real::output_interface_sufficiency::no_relevant_source_consumer_window_under_bounds,cross_netlist_transplant failure row from the committed taxonomy.,real,20,no_relevant_source_consumer_window_under_bounds,results/cross_netlist_cut_transplantation/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
formal_locality_barrier::no_globally_anchored_cut::insufficient_target_provenance::insufficient_target_provenance,formal_locality_barrier failure row from the committed taxonomy.,no_globally_anchored_cut,36,insufficient_target_provenance,results/formal_locality_barriers/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
formal_locality_barrier::no_relevant_source_consumer_window_under_bounds::exact_compact_output_interface_found::exact_compact_output_interface_found,formal_locality_barrier failure row from the committed taxonomy.,no_relevant_source_consumer_window_under_bounds,3,exact_compact_output_interface_found,results/formal_locality_barriers/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
formal_locality_barrier::no_relevant_source_consumer_window_under_bounds::output_residual_minimum_above_previous_bound::output_residual_minimum_above_previous_bound,formal_locality_barrier failure row from the committed taxonomy.,no_relevant_source_consumer_window_under_bounds,17,output_residual_minimum_above_previous_bound,results/formal_locality_barriers/failure_taxonomy.csv,Keep this blocker separate from accepted controlled proof claims.,research_wow_v1
blind_cegis::cegis::no_candidate_satisfies_examples,Blind CEGIS exhausted the bounded candidate family after adding counterexamples.,blind_generated_blif,21,arithmetic_add_add_w2__identity__ground_truth_region,results/blind_semantic_cegis/failure_taxonomy.csv,Blind success rates must be reported separately from oracle and controlled settings.,research_wow_v1
