quotient_id,candidate_id,benchmark,backend,quotient_status,completion_policy,input_order,output_order,rows,node_count,blif_path,failure_reason,schema_version
distributed_affine_divisor__active_source_counterpart__quotient,distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""c0"", ""c1"", ""d0"", ""d1""]","[""y0"", ""y1"", ""z0"", ""z1""]",64,4,results/active_source_counterpart_refactoring/artifacts/distributed_affine_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart__quotient,shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]",16,4,results/active_source_counterpart_refactoring/artifacts/shared_add_add_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__quotient,bilinear_divisor__active_source_counterpart,bilinear_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]",16,4,results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__quotient,mac_divisor__active_source_counterpart,mac_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]",16,4,results/active_source_counterpart_refactoring/artifacts/mac_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__quotient,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__quotient,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0""]","[""o0"", ""o1""]",6,2,results/active_source_counterpart_refactoring/artifacts/boolean_obscured_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__quotient,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/active_source_counterpart_refactoring/artifacts/closed_region_fails_decomposition_succeeds.active_quotient.blif,,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__quotient,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/active_source_counterpart_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.active_quotient.blif,,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__quotient,requires_residual_variable__active_source_counterpart,requires_residual_variable,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0"", ""r1""]","[""o0"", ""o1""]",16,2,results/active_source_counterpart_refactoring/artifacts/requires_residual_variable.active_quotient.blif,,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__quotient,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1"", ""r0""]","[""o0"", ""o1""]",8,2,results/active_source_counterpart_refactoring/artifacts/requires_multi_output_m.active_quotient.blif,,active_source_counterpart_refactoring_v1
negative_information_lost__active_source_counterpart__quotient,negative_information_lost__active_source_counterpart,negative_information_lost,truth_table_exact,not_run_decomposition_failed,none,[],[],0,0,,decomposition_failed,active_source_counterpart_refactoring_v1
negative_h_ignores_m__active_source_counterpart__quotient,negative_h_ignores_m__active_source_counterpart,negative_h_ignores_m,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""r0""]","[""o0""]",4,1,results/active_source_counterpart_refactoring/artifacts/negative_h_ignores_m.active_quotient.blif,,active_source_counterpart_refactoring_v1
negative_identity_divisor__active_source_counterpart__quotient,negative_identity_divisor__active_source_counterpart,negative_identity_divisor,truth_table_exact,synthesized_truth_table,zero_completion_for_unreachable_mz,"[""m0"", ""m1""]","[""o0"", ""o1""]",4,2,results/active_source_counterpart_refactoring/artifacts/negative_identity_divisor.active_quotient.blif,,active_source_counterpart_refactoring_v1
