mode,operator,regions_attempted,regions_recovered,bounded_grammar_complete_for_attempted_rows,proof_backend,proof_row_count,proof_hash,claim_scope,limitation,schema_version
blind,add_add,2,0,false,z3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
blind,affine,34,3,false,z3,3,b1735a8722da387090d52b56f0f86f5718c60286427be3da9be1287570b6d472,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
blind,bilinear,2,0,false,z3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
blind,constant_multiply,34,12,false,z3,12,9fd42cacf04fdbb1eeac0407f232e91101ca7053f18e3d83b68e8d77a68cc632,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
blind,sign_extend,4,4,true,z3,4,46bddf11c3591bcd2360790231409f458c6d3c6bd90b6cec300f1f00fabdc39f,attempted_region_rows_only,,evidence_advancement_v1
blind,zero_extend,4,4,true,z3,4,8b7334758ecc3c9bc9b4f3e8050ebfc9b830ad4f84f45990d563f971980ae926,attempted_region_rows_only,,evidence_advancement_v1
oracle_bus,add_add,2,0,false,z3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
oracle_bus,affine,34,3,false,z3,3,6bd13c9c94f615f4cd653534b120e5833b8a2dcfa67421b8fb364935f99626d4,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
oracle_bus,bilinear,2,0,false,z3,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
oracle_bus,constant_multiply,34,12,false,z3,12,d71853d22d2267b55afb68e1f472cebdc4b551a819cee153211cd6a18e613565,attempted_region_rows_only,not_all_attempted_regions_recovered,evidence_advancement_v1
oracle_bus,sign_extend,4,4,true,z3,4,e6fe8d52b0806e7f38fb1178948665211a3b089e194c2cdde6b79eac66a475a1,attempted_region_rows_only,,evidence_advancement_v1
oracle_bus,zero_extend,4,4,true,z3,4,4ce8c20e740aefca8a5a387aa222d74354525de425fd3536a5c038ad012c02d4,attempted_region_rows_only,,evidence_advancement_v1
