window_id,benchmark,optimisation,split,blif_path,window_inputs,window_outputs,window_nodes,reason,source_blind,fingerprint,schema_version
distributed_affine_divisor__window,distributed_affine_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/distributed_affine_divisor.blif,"[""x0"", ""x1"", ""c0"", ""c1"", ""d0"", ""d1""]","[""y0"", ""y1"", ""z0"", ""z1""]","[""y0"", ""y1"", ""z0"", ""z1""]",bounded_consumer_window,true,398c156850244050,semantic_functional_refactoring_v1
shared_add_add_divisor__window,shared_add_add_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/shared_add_add_divisor.blif,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]",bounded_consumer_window,true,46f12c0e7d48a6c7,semantic_functional_refactoring_v1
bilinear_divisor__window,bilinear_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/bilinear_divisor.blif,"[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]",bounded_consumer_window,true,f95473f6898e8444,semantic_functional_refactoring_v1
mac_divisor__window,mac_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/mac_divisor.blif,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""o0"", ""o1"", ""p0"", ""p1""]",bounded_consumer_window,true,017ec9aa7603ca8c,semantic_functional_refactoring_v1
reordered_multi_output_divisor__window,reordered_multi_output_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/reordered_multi_output_divisor.blif,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,9a6973f818eb5afb,semantic_functional_refactoring_v1
boolean_obscured_divisor__window,boolean_obscured_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/boolean_obscured_divisor.blif,"[""x0"", ""x1"", ""r0""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,f21db0b04cea4937,semantic_functional_refactoring_v1
closed_region_fails_decomposition_succeeds__window,closed_region_fails_decomposition_succeeds,controlled,dev,benchmarks/semantic_functional_refactoring/closed_region_fails_decomposition_succeeds.blif,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,be05c148448c99a6,semantic_functional_refactoring_v1
joint_bypass_fails_decomposition_succeeds__window,joint_bypass_fails_decomposition_succeeds,controlled,heldout,benchmarks/semantic_functional_refactoring/joint_bypass_fails_decomposition_succeeds.blif,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,feb5e023a9722c2b,semantic_functional_refactoring_v1
requires_residual_variable__window,requires_residual_variable,controlled,dev,benchmarks/semantic_functional_refactoring/requires_residual_variable.blif,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,491d33ca204aeb44,semantic_functional_refactoring_v1
requires_multi_output_m__window,requires_multi_output_m,controlled,dev,benchmarks/semantic_functional_refactoring/requires_multi_output_m.blif,"[""x0"", ""x1"", ""r0""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,b002058c762ca1a9,semantic_functional_refactoring_v1
negative_information_lost__window,negative_information_lost,controlled,heldout,benchmarks/semantic_functional_refactoring/negative_information_lost.blif,"[""x0"", ""x1""]","[""o0""]","[""o0""]",bounded_consumer_window,true,c4b1920f993dc518,semantic_functional_refactoring_v1
negative_h_ignores_m__window,negative_h_ignores_m,controlled,dev,benchmarks/semantic_functional_refactoring/negative_h_ignores_m.blif,"[""x0"", ""r0""]","[""o0""]","[""o0""]",bounded_consumer_window,true,5cbcb48ebcc2b29a,semantic_functional_refactoring_v1
negative_identity_divisor__window,negative_identity_divisor,controlled,dev,benchmarks/semantic_functional_refactoring/negative_identity_divisor.blif,"[""x0"", ""x1""]","[""o0"", ""o1""]","[""o0"", ""o1""]",bounded_consumer_window,true,350f5935561db467,semantic_functional_refactoring_v1
