candidate_id,seed_id,benchmark,optimisation,coi_name,iteration,implementation_nodes,input_cut,output_cut,external_fanout_edges,observable_outputs,inferred_input_buses,inferred_output_buses,semantic_hypothesis_id,proof_scope,proof_status,closure_status,last_counterexample,repair_history,search_cost,search_score,source_blind,fingerprint,schema_version
joint_full_adder_missing_input__seed__j00__52c564adc5,joint_full_adder_missing_input__seed,joint_full_adder_missing_input,controlled,"sum,cout",0,"[""ab"",""ac"",""bc"",""cout"",""sum"",""xab""]","[""a"",""b""]","[""cout"",""sum""]",[],"[""cout"",""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""cout""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_input__initial,formal_region_free_cut,unproven,invalid_incomplete_input_cut,{},[],0,0.0,true,c941caaa366db3c2,joint_region_interface_candidate_v1
joint_full_adder_missing_input__seed__j01__01a3d6cb8b,joint_full_adder_missing_input__seed,joint_full_adder_missing_input,controlled,"sum,cout",1,"[""ab"",""ac"",""bc"",""cout"",""sum"",""xab""]","[""a"",""b"",""cin""]","[""cout"",""sum""]",[],"[""cout"",""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""cout""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_input__initial,formal_region_free_cut,unproven,closed,{},"[""add_cut_input""]",1,0.79,true,9149c7890c3b480e,joint_region_interface_candidate_v1
joint_full_adder_missing_input__seed__j09__4fed40597a,joint_full_adder_missing_input__seed,joint_full_adder_missing_input,controlled,"sum,cout",9,"[""ab"",""ac"",""bc"",""cout"",""sum"",""xab""]","[""a"",""b"",""cin""]","[""cout"",""sum""]",[],"[""cout"",""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""cout""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_input__full_adder__module,formal_region_free_cut,unproven,closed,{},[],11,0.79,true,4c4bb0b0701e3b9e,joint_region_interface_candidate_v1
joint_full_adder_missing_output__seed__j00__7eb98cf7bd,joint_full_adder_missing_output__seed,joint_full_adder_missing_output,controlled,sum,0,"[""sum"",""xab""]","[""a"",""b"",""cin""]","[""sum""]",[],"[""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_output__initial,formal_region_free_cut,unproven,closed,{},[],0,0.87,true,35aab9c4418ec849,joint_region_interface_candidate_v1
joint_full_adder_missing_output__seed__j01__6815ef5056,joint_full_adder_missing_output__seed,joint_full_adder_missing_output,controlled,sum,1,"[""sum"",""xab""]","[""a"",""b"",""cin""]","[""cout"",""sum""]",[],"[""cout"",""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""cout""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_output__initial,formal_region_free_cut,unproven,closed,{},"[""promote_output""]",1,0.87,true,039366f77069a656,joint_region_interface_candidate_v1
joint_full_adder_missing_output__seed__j09__2eb71e559a,joint_full_adder_missing_output__seed,joint_full_adder_missing_output,controlled,"sum,cout",9,"[""ab"",""ac"",""bc"",""cout"",""sum"",""xab""]","[""a"",""b"",""cin""]","[""cout"",""sum""]",[],"[""cout"",""sum""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""cin""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""cout""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""sum""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_full_adder_missing_output__full_adder__module,formal_region_free_cut,unproven,closed,{},[],11,0.79,true,d33105c58398898b,joint_region_interface_candidate_v1
joint_boolean_region__seed__j00__0727c2ff17,joint_boolean_region__seed,joint_boolean_region,controlled,y0,0,"[""y0""]","[""a0"",""b0"",""c0""]","[""y0""]",[],"[""y0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_boolean_region__initial,formal_region_free_cut,unproven,closed,{},[],0,0.89,true,6207817575ad9a92,joint_region_interface_candidate_v1
joint_boolean_region__seed__j09__354f33107b,joint_boolean_region__seed,joint_boolean_region,controlled,y0,9,"[""y0""]","[""a0"",""b0"",""c0""]","[""y0""]",[],"[""y0""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_boolean_region__boolean_or_and__module,formal_region_free_cut,unproven,closed,{},[],5,0.89,true,cb2e68143af25de4,joint_region_interface_candidate_v1
joint_affine_hidden_coefficients__seed__j00__69a46e5d1f,joint_affine_hidden_coefficients__seed,joint_affine_hidden_coefficients,controlled,"y0,y1",0,"[""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""c0"",""c1""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci5"",""ordered_member_nodes"":[""c1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_affine_hidden_coefficients__initial,formal_region_free_cut,unproven,closed,{},[],0,0.78,true,c83acda6b85c31fc,joint_region_interface_candidate_v1
joint_affine_hidden_coefficients__seed__j00__21b42d147d,joint_affine_hidden_coefficients__seed,joint_affine_hidden_coefficients,controlled,"y0,y1",0,"[""a0"",""a1"",""b0"",""b1"",""c0"",""c1"",""y0"",""y1""]","[""a0"",""a1"",""b0"",""b1"",""c0"",""c1""]","[""y0"",""y1""]",[],"[""y0"",""y1""]","[{""name"":""ci0"",""ordered_member_nodes"":[""a0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci1"",""ordered_member_nodes"":[""a1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci2"",""ordered_member_nodes"":[""b0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci3"",""ordered_member_nodes"":[""b1""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci4"",""ordered_member_nodes"":[""c0""],""role"":""cut_input"",""signed"":false,""width"":1},{""name"":""ci5"",""ordered_member_nodes"":[""c1""],""role"":""cut_input"",""signed"":false,""width"":1}]","[{""name"":""co0"",""ordered_member_nodes"":[""y0""],""role"":""cut_output"",""signed"":false,""width"":1},{""name"":""co1"",""ordered_member_nodes"":[""y1""],""role"":""cut_output"",""signed"":false,""width"":1}]",joint_affine_hidden_coefficients__initial,formal_region_free_cut,unproven,invalid_whole_design_expansion,{},[],0,0.0,true,321d910fd5625663,joint_region_interface_candidate_v1
