result_id,benchmark,design_family,split,boundary_id,trajectory_id,checkpoint_id,checkpoint_index,pass_name,method,oracle_mode,recovery_level,recovered,semantic_proof_status,decomposition_status,solver_result,counterexample_available,counterexample_reproduced,runtime_s,timeout,failure_reason,deterministic_seed,schema_version
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__structural__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,structural,blind,R0_structural_survival,true,not_run,not_run,not_run,false,true,0.000030,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__functional_survival__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,functional_survival,blind,R1_functional_internal_survival,true,not_run,not_run,not_run,false,true,0.000206,false,,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__blind_semantic_cegis__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,blind_semantic_cegis,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000019,false,blind_divisor_not_discovered,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__blind_region_replacement__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,blind_region_replacement,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000018,false,blind_divisor_not_discovered,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source__blind_functional_refactoring__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp000_source,0,source,blind_functional_refactoring,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000017,false,blind_divisor_not_discovered,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__structural__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,structural,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000050,false,no_exact_or_complemented_internal_survivor,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__functional_survival__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,functional_survival,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000618,false,no_formally_equivalent_internal_signal_under_exhaustive_small_check,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__blind_semantic_cegis__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,blind_semantic_cegis,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000031,false,blind_divisor_not_discovered,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__blind_region_replacement__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,blind_region_replacement,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000028,false,blind_divisor_not_discovered,0,semantic_recoverability_frontier_v1
controlled_xor_factor__b0__controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1__blind_functional_refactoring__blind,controlled_xor_factor,controlled_boolean,controlled,controlled_xor_factor__b0,controlled__controlled_xor_factor__mild_balance_rewrite,controlled__controlled_xor_factor__mild_balance_rewrite__cp001_strash_1,1,strash,blind_functional_refactoring,blind,R9_unresolved,false,not_run,not_run,not_run,false,true,0.000028,false,blind_divisor_not_discovered,0,semantic_recoverability_frontier_v1
