hypothesis_id,candidate_id,benchmark,grammar_tier,template_family,module_id,canonical_module,module_cost,output_count,source_blind,generated_without_ground_truth,schema_version
joint_full_adder_missing_input__full_adder__module,joint_full_adder_missing_input__seed__j09__4fed40597a,joint_full_adder_missing_input,compositional_word_level,full_adder,joint_sem_full_adder_missing_input,"sum=xor<1,unsigned>(cin,xor<1,unsigned>(a,b));cout=or<1,unsigned>(and<1,unsigned>(b,cin),or<1,unsigned>(and<1,unsigned>(a,b),and<1,unsigned>(a,cin)))",10,2,true,true,joint_semantic_hypothesis_v1
joint_full_adder_missing_output__full_adder__module,joint_full_adder_missing_output__seed__j09__2eb71e559a,joint_full_adder_missing_output,compositional_word_level,full_adder,joint_sem_full_adder_missing_output,"sum=xor<1,unsigned>(cin,xor<1,unsigned>(a,b));cout=or<1,unsigned>(and<1,unsigned>(b,cin),or<1,unsigned>(and<1,unsigned>(a,b),and<1,unsigned>(a,cin)))",10,2,true,true,joint_semantic_hypothesis_v1
joint_boolean_region__boolean_or_and__module,joint_boolean_region__seed__j09__354f33107b,joint_boolean_region,compositional_word_level,boolean_or_and,sem_joint_boolean_region,"y0=or<1,unsigned>(and<1,unsigned>(a,b),c)",5,1,true,true,joint_semantic_hypothesis_v1
joint_affine_hidden_coefficients__affine__module,joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b,joint_affine_hidden_coefficients,compositional_word_level,affine,sem_joint_affine_hidden_coefficients,"y0=slice<1,unsigned>(add<2,unsigned>(2'd3,add<2,unsigned>(mul<2,unsigned>(2'd5,a),mul<2,unsigned>(2'd7,b))))[0:0];y1=slice<1,unsigned>(add<2,unsigned>(2'd3,add<2,unsigned>(mul<2,unsigned>(2'd5,a),mul<2,unsigned>(2'd7,b))))[1:1]",11,2,true,true,joint_semantic_hypothesis_v1
joint_add_add__add_add__module,joint_add_add__seed__j09__c90e04a2f0,joint_add_add,compositional_word_level,add_add,sem_joint_add_add,"y0=slice<1,unsigned>(add<2,unsigned>(add<2,unsigned>(a,b),c))[0:0];y1=slice<1,unsigned>(add<2,unsigned>(add<2,unsigned>(a,b),c))[1:1]",7,2,true,true,joint_semantic_hypothesis_v1
joint_bilinear__bilinear__module,joint_bilinear__seed__j09__70b22141ea,joint_bilinear,compositional_word_level,bilinear,sem_joint_bilinear,"y0=slice<1,unsigned>(add<2,unsigned>(add<2,unsigned>(2'd1,mul<2,unsigned>(2'd7,b)),add<2,unsigned>(mul<2,unsigned>(2'd3,mul<2,unsigned>(a,b)),mul<2,unsigned>(2'd5,a))))[0:0];y1=slice<1,unsigned>(add<2,unsigned>(add<2,unsigned>(2'd1,mul<2,unsigned>(2'd7,b)),add<2,unsigned>(mul<2,unsigned>(2'd3,mul<2,unsigned>(a,b)),mul<2,unsigned>(2'd5,a))))[1:1]",15,2,true,true,joint_semantic_hypothesis_v1
joint_mac__mac__module,joint_mac__seed__j09__9f37686d78,joint_mac,compositional_word_level,mac,sem_joint_mac,"y0=slice<1,unsigned>(add<2,unsigned>(c,mul<2,unsigned>(a,b)))[0:0];y1=slice<1,unsigned>(add<2,unsigned>(c,mul<2,unsigned>(a,b)))[1:1]",7,2,true,true,joint_semantic_hypothesis_v1
joint_mux_reordered_outputs__mux__module,joint_mux_reordered_outputs__seed__j09__432444d61d,joint_mux_reordered_outputs,compositional_word_level,mux,joint_sem_mux,"y0=slice<1,unsigned>(mux<2,unsigned>(sel,a,b))[0:0];y1=slice<1,unsigned>(mux<2,unsigned>(sel,a,b))[1:1]",6,2,true,true,joint_semantic_hypothesis_v1
joint_negative_unaccounted_fanout__negative__module,joint_negative_unaccounted_fanout__seed__j09__0a58a83023,joint_negative_unaccounted_fanout,compositional_word_level,negative,joint_bad_unaccounted_fanout,"sum=xor<1,unsigned>(cin,xor<1,unsigned>(a,b));cout=or<1,unsigned>(and<1,unsigned>(b,cin),or<1,unsigned>(and<1,unsigned>(a,b),and<1,unsigned>(a,cin)))",10,2,true,true,joint_semantic_hypothesis_v1
joint_negative_dangling_fanin__negative__module,joint_negative_dangling_fanin__seed__j09__b7a19168e8,joint_negative_dangling_fanin,compositional_word_level,negative,joint_bad_dangling,sum=missing,1,1,true,true,joint_semantic_hypothesis_v1
