attempt_id,candidate_id,benchmark,strategy,boundary_validation_status,graph_active_inserted_nodes,newly_recovered_boundary,boundary_classification,restoration_scope,schema_version
joint_full_adder_missing_input__seed__j09__4fed40597a__replacement,joint_full_adder_missing_input__seed__j09__4fed40597a,joint_full_adder_missing_input,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_full_adder_missing_output__seed__j09__2eb71e559a__replacement,joint_full_adder_missing_output__seed__j09__2eb71e559a,joint_full_adder_missing_output,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_boolean_region__seed__j09__354f33107b__replacement,joint_boolean_region__seed__j09__354f33107b,joint_boolean_region,joint_closed_region_semantic_replacement,valid,1,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b__replacement,joint_affine_hidden_coefficients__seed__j09__9dd95e9b7b,joint_affine_hidden_coefficients,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_add_add__seed__j09__c90e04a2f0__replacement,joint_add_add__seed__j09__c90e04a2f0,joint_add_add,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_bilinear__seed__j09__70b22141ea__replacement,joint_bilinear__seed__j09__70b22141ea,joint_bilinear,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_mac__seed__j09__9f37686d78__replacement,joint_mac__seed__j09__9f37686d78,joint_mac,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_mux_reordered_outputs__seed__j09__432444d61d__replacement,joint_mux_reordered_outputs__seed__j09__432444d61d,joint_mux_reordered_outputs,joint_closed_region_semantic_replacement,valid,2,true,valid_extended_boundary_restoration,controlled_global_equivalence,joint_boundary_restoration_v1
joint_negative_unaccounted_fanout__seed__j09__0a58a83023__replacement,joint_negative_unaccounted_fanout__seed__j09__0a58a83023,joint_negative_unaccounted_fanout,joint_closed_region_semantic_replacement,rejected,0,false,invalid_or_unresolved,invalid_unaccounted_external_fanout,joint_boundary_restoration_v1
joint_negative_dangling_fanin__seed__j09__b7a19168e8__replacement,joint_negative_dangling_fanin__seed__j09__b7a19168e8,joint_negative_dangling_fanin,joint_closed_region_semantic_replacement,rejected,0,false,invalid_or_unresolved,semantic_region_not_proven,joint_boundary_restoration_v1
