attempt_id,candidate_id,benchmark,cec_scope,abc_available,cec_status,abc_output,schema_version
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,S_vs_Sprime,true,equivalent,"te_invert_adapter.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.transplanted_source.blif"" Networks are equivalent.  Time =     0.01 sec ",cross_netlist_cut_transplantation_v1
permute_invert_adapter__xplant__rewrite,permute_invert_adapter__xplant,permute_invert_adapter,Sprime_vs_I,true,equivalent,"urce.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/permute_invert_adapter.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,S_vs_Sprime,true,equivalent,"tion/xor_basis_adapter.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
xor_basis_adapter__xplant__rewrite,xor_basis_adapter__xplant,xor_basis_adapter,Sprime_vs_I,true,equivalent,"ed_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/xor_basis_adapter.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,S_vs_Sprime,true,equivalent,"oolean_adapter.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
nonlinear_boolean_adapter__xplant__rewrite,nonlinear_boolean_adapter__xplant,nonlinear_boolean_adapter,Sprime_vs_I,true,equivalent,"e.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/nonlinear_boolean_adapter.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,S_vs_Sprime,true,equivalent,"/multi_output_region.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/multi_output_region.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
multi_output_region__xplant__rewrite,multi_output_region__xplant,multi_output_region,Sprime_vs_I,true,equivalent,"_source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/multi_output_region.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,S_vs_Sprime,true,equivalent,"l_output_adapter.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
residual_output_adapter__xplant__rewrite,residual_output_adapter__xplant,residual_output_adapter,Sprime_vs_I,true,equivalent,"rce.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/residual_output_adapter.implementation.blif"" Networks are equivalent after structural hashing.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
grow_forward_region__xplant__rewrite,grow_forward_region__xplant,grow_forward_region,S_vs_Sprime,true,equivalent,"/grow_forward_region.source.blif /Users/stefi/Desktop/research/eth/aig_optimization_experiments/results/cross_netlist_cut_transplantation/artifacts/grow_forward_region.transplanted_source.blif"" Networks are equivalent.  Time =     0.00 sec ",cross_netlist_cut_transplantation_v1
