benchmark,optimization,suggested_original_node,optimized_path_node,path_index,path_length,split_balance_score,mapping_category,confidence_score,explanation,caveats
external_iscas85_c2670,resub,new_n856,new_n793,11,21,1.000,exact,1.000,"Candidate is near the path midpoint (11/21, balance 1.000) and has exact correspondence; prototype score 1.000.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c2670,rewrite_z,new_n856,new_n729,11,21,1.000,exact,1.000,"Candidate is near the path midpoint (11/21, balance 1.000) and has exact correspondence; prototype score 1.000.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,resub,new_n114,new_n128,21,41,1.000,exact,1.000,"Candidate is near the path midpoint (21/41, balance 1.000) and has exact correspondence; prototype score 1.000.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,rewrite,new_n114,new_n144,21,41,1.000,exact,1.000,"Candidate is near the path midpoint (21/41, balance 1.000) and has exact correspondence; prototype score 1.000.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,rewrite,new_n1143,new_n1143,59,117,1.000,exact,1.000,"Candidate is near the path midpoint (59/117, balance 1.000) and has exact correspondence; prototype score 1.000.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c2670,resyn,new_n782,new_n673,9,17,1.000,exact,0.999,"Candidate is near the path midpoint (9/17, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c2670,rewrite,new_n861,new_n743,11,21,1.000,exact,0.999,"Candidate is near the path midpoint (11/21, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,rewrite_z,new_n158,new_n108,21,41,1.000,exact,0.999,"Candidate is near the path midpoint (21/41, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,refactor_z,new_n1288,new_n1272,60,119,1.000,exact,0.999,"Candidate is near the path midpoint (60/119, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c2670,balance,new_n907,new_n896,9,17,1.000,exact,0.999,"Candidate is near the path midpoint (9/17, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,balance,new_n114,new_n126,13,25,1.000,exact,0.999,"Candidate is near the path midpoint (13/25, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,resyn,new_n114,new_n104,13,25,1.000,exact,0.999,"Candidate is near the path midpoint (13/25, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,resyn2,new_n114,new_n104,13,25,1.000,exact,0.999,"Candidate is near the path midpoint (13/25, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,resyn2_like,new_n114,new_n104,13,25,1.000,exact,0.999,"Candidate is near the path midpoint (13/25, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,compress2rs,new_n114,new_n118,12,23,1.000,exact,0.999,"Candidate is near the path midpoint (12/23, balance 1.000) and has exact correspondence; prototype score 0.999.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,balance,new_n1286,new_n1286,60,120,0.983,exact,0.993,"Candidate is near the path midpoint (60/120, balance 0.983) and has exact correspondence; prototype score 0.993.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,refactor,new_n1286,new_n1285,60,120,0.983,exact,0.993,"Candidate is near the path midpoint (60/120, balance 0.983) and has exact correspondence; prototype score 0.993.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,resub,new_n1286,new_n1283,60,120,0.983,exact,0.993,"Candidate is near the path midpoint (60/120, balance 0.983) and has exact correspondence; prototype score 0.993.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c432,refactor,new_n114,new_n154,21,42,0.952,exact,0.979,"Candidate is near the path midpoint (21/42, balance 0.952) and has exact correspondence; prototype score 0.979.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,compress2rs,new_n893,new_n731,44,89,0.956,exact,0.978,"Candidate is near the path midpoint (44/89, balance 0.956) and has exact correspondence; prototype score 0.978.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,dc2,new_n893,new_n732,44,89,0.956,exact,0.978,"Candidate is near the path midpoint (44/89, balance 0.956) and has exact correspondence; prototype score 0.978.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,resyn,new_n893,new_n743,44,89,0.956,exact,0.978,"Candidate is near the path midpoint (44/89, balance 0.956) and has exact correspondence; prototype score 0.978.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
external_iscas85_c6288,resyn2,new_n893,new_n731,44,89,0.956,exact,0.978,"Candidate is near the path midpoint (44/89, balance 0.956) and has exact correspondence; prototype score 0.978.","Research prototype only; no RTL rewrite or sequential verification performed. Engineer must check latency, control/data dependencies, reset, and enables."
