candidate_id,benchmark,optimization_flow,split,optimized_target_nodes,target_selection_reason,optimized_cut_id,implementation_cut_leaves,mapped_source_cut_leaves,leaf_polarities,target_function_id,generated_source_counterpart_nodes,counterpart_backend,selected_source_window,source_window_inputs,source_window_outputs,residual_interface,quotient_id,search_provenance,source_blind,fingerprint,schema_version
distributed_affine_divisor__active_source_counterpart,distributed_affine_divisor,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,distributed_affine_divisor__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]",56d968aa37216ab2,"[""m0"", ""m1""]",semantic_expression_materialization,distributed_affine_divisor__source_window,"[""x0"", ""x1"", ""c0"", ""c1"", ""d0"", ""d1""]","[""y0"", ""y1"", ""z0"", ""z1""]","[""c0"", ""c1"", ""d0"", ""d1""]",distributed_affine_divisor__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,13ab5661cbf4d6b6,active_source_counterpart_refactoring_v1
shared_add_add_divisor__active_source_counterpart,shared_add_add_divisor,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,shared_add_add_divisor__target__cut,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]",0ffca1ff7e932d0a,"[""m0"", ""m1""]",semantic_expression_materialization,shared_add_add_divisor__source_window,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""r0"", ""r1""]",shared_add_add_divisor__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,b5309609a046e457,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart,bilinear_divisor,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,bilinear_divisor__target__cut,"[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1""]","[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]",e24671def85f225d,"[""m0"", ""m1""]",semantic_expression_materialization,bilinear_divisor__source_window,"[""x0"", ""x1"", ""y0"", ""y1"", ""c0"", ""c1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""r0"", ""r1""]",bilinear_divisor__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,d0df58ea04c0f1bc,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart,mac_divisor,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,mac_divisor__target__cut,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]",c918d47425684fb6,"[""m0"", ""m1""]",semantic_expression_materialization,mac_divisor__source_window,"[""a0"", ""a1"", ""b0"", ""b1"", ""c0"", ""c1"", ""r0"", ""r1""]","[""o0"", ""o1"", ""p0"", ""p1""]","[""r0"", ""r1""]",mac_divisor__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,0feafc1b57be7389,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,reordered_multi_output_divisor__target__cut,"[""x1"", ""x0""]","[""x1"", ""x0""]","[""same"", ""same""]",f21edaac50c7d4b8,"[""m0"", ""m1""]",semantic_expression_materialization,reordered_multi_output_divisor__source_window,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",reordered_multi_output_divisor__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,6601935a3bedc7e0,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,boolean_obscured_divisor__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]",9d5897e49135094e,"[""m0"", ""m1""]",semantic_expression_materialization,boolean_obscured_divisor__source_window,"[""x0"", ""x1"", ""r0""]","[""o0"", ""o1""]","[""r0""]",boolean_obscured_divisor__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,5b53b9621cbf1325,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,closed_region_fails_decomposition_succeeds__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]",56d968aa37216ab2,"[""m0"", ""m1""]",semantic_expression_materialization,closed_region_fails_decomposition_succeeds__source_window,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",closed_region_fails_decomposition_succeeds__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,69f4c5bbf05c9f85,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,controlled_source_impl_pair,heldout,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,joint_bypass_fails_decomposition_succeeds__target__cut,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1""]","[""same"", ""same"", ""same"", ""same"", ""same"", ""same""]",0ffca1ff7e932d0a,"[""m0"", ""m1""]",semantic_expression_materialization,joint_bypass_fails_decomposition_succeeds__source_window,"[""x0"", ""x1"", ""y0"", ""y1"", ""z0"", ""z1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",joint_bypass_fails_decomposition_succeeds__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,9caeb9c388b4c29b,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart,requires_residual_variable,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,requires_residual_variable__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]",c1b3f8c6f8aaa54a,"[""m0"", ""m1""]",semantic_expression_materialization,requires_residual_variable__source_window,"[""x0"", ""x1"", ""r0"", ""r1""]","[""o0"", ""o1""]","[""r0"", ""r1""]",requires_residual_variable__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,64fdd16a9c073b99,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart,requires_multi_output_m,controlled_source_impl_pair,dev,"[""m0"", ""m1""]",observable_consumer_window_and_formal_cut,requires_multi_output_m__target__cut,"[""x0"", ""x1""]","[""x0"", ""x1""]","[""same"", ""same""]",447a2c3fb3d00094,"[""m0"", ""m1""]",semantic_expression_materialization,requires_multi_output_m__source_window,"[""x0"", ""x1"", ""r0""]","[""o0"", ""o1""]","[""r0""]",requires_multi_output_m__active_source_counterpart__quotient,controlled_source_blind_after_split_lock,true,454e208fa51e4935,active_source_counterpart_refactoring_v1
